dataset	family	model_key	triplet_score	dataset_rank_int	layer_name	layer_index	family_rank
CSIQ	FastViT	fastvit_s12	0.8641750227894256	39	feature_map_002	2	2
CSIQ	FastViT	fastvit_t8	0.8555150410209662	41	feature_map_003	3	3
CSIQ	FastViT	fastvit_sa12	0.8372835004557886	42	feature_map_002	2	4
CSIQ	FastViT	fastvit_t12	0.7698268003646308	50	feature_map_002	2	5
CSIQ	FastViT	fastvit_sa36	0.7474931631722881	55	feature_map_002	2	6
CSIQ	FastViT	fastvit_sa24	0.7347310847766636	57	feature_map_002	2	7
CSIQ	FastViTHD	fastvithd_05b	0.9963536918869644	1	image_embeddings	44	1
CSIQ	FastViTHD	fastvithd_15b	0.9963536918869644	2	image_embeddings	44	2
CSIQ	FastViTHD	fastvithd_7b	0.9822242479489517	5	canonical_embedding	45	3
CSIQ	I-JEPA	ijepa_vith14	0.7625341841385598	53	canonical_embedding	33	1
CSIQ	InternViT	internvit_6b_v25	0.9776663628076572	8	hidden_state_041	41	1
CSIQ	InternViT	internvit_300m_v25	0.39334548769371014	74	hidden_state_020	20	2
CSIQ	InternViT	internvit_300m	0.2146763901549681	75	hidden_state_009	9	3
CSIQ	MAE	vit_mae_large	0.7958067456700091	48	hidden_state_023	23	1
CSIQ	MAE	vit_mae_huge	0.776207839562443	49	hidden_state_022	22	2
CSIQ	MAE	vit_mae_base	0.7611668185961714	54	hidden_state_012	12	3
CSIQ	ResNeXt	resnext101_32x8d	0.8992707383773929	32	feature_map_003	3	1
CSIQ	ResNeXt	resnext50_32x4d	0.8992707383773928	33	feature_map_004	4	2
CSIQ	ResNet	resnet50	0.915679124886053	26	hidden_state_004	4	1
CSIQ	ResNet	resnet34	0.8828623518687329	35	hidden_state_004	4	2
CSIQ	ResNet	resnet18	0.8687329079307202	38	hidden_state_004	4	3
CSIQ	ResNet	resnet101	0.7661804922515953	51	hidden_state_004	4	4
CSIQ	ResNet	resnet152	0.7160437556973565	60	hidden_state_004	4	5
CSIQ	SigLIP	siglip_so400m	0.9521422060164084	13	image_embeds_l2	29	1
CSIQ	SigLIP	siglip_base	0.9402917046490429	16	hidden_state_012	12	2
CSIQ	SigLIP	siglip_large	0.9266180492251596	22	hidden_state_014	14	3
CSIQ	SigLIP2	siglip2_base_naflex	0.9822242479489517	6	image_embeds_l2	2	1
CSIQ	SigLIP2	siglip2_base	0.9644484958979034	10	image_embeds_l2	2	2
CSIQ	SigLIP2	siglip2_large	0.9179580674567	24	image_embeds_l2	2	3
CSIQ	SigLIP2	siglip2_so400m_naflex	0.9152233363719234	27	image_embeds_l2	2	4
CSIQ	SigLIP2	siglip2_so400m	0.8135824977210575	47	image_embeds_l2	2	5
CSIQ	Swin	swin_tiny	0.6914311759343664	62	hidden_state_004	4	1
CSIQ	Swin	swin_small	0.5938924339106655	68	canonical_embedding	5	2
CSIQ	Swin	swin_base	0.4977210574293528	71	canonical_embedding	5	3
CSIQ	Swin	swin_large	0.3979033728350046	73	canonical_embedding	5	4
CSIQ	SwinV2	swinv2_tiny	0.6166818596171377	67	hidden_state_001	1	1
CSIQ	SwinV2	swinv2_small	0.544211485870556	69	hidden_state_001	1	2
CSIQ	SwinV2	swinv2_base	0.5173199635369188	70	hidden_state_002	2	3
CSIQ	SwinV2	swinv2_large	0.4380127620783956	72	hidden_state_002	2	4
CSIQ	VGG	vgg19	0.9949863263445762	3	feature_map_004	4	1
CSIQ	VGG	vgg16	0.9863263445761168	4	feature_map_004	4	2
CSIQ	VGG	vgg19_bn	0.9794895168641751	7	feature_map_005	5	3
CSIQ	VGG	vgg13	0.95077484047402	14	feature_map_005	5	4
CSIQ	VGG	vgg16_bn	0.95077484047402	15	feature_map_004	4	5
CSIQ	VGG	vgg11	0.9325432999088423	18	feature_map_004	4	6
CSIQ	VGG	vgg13_bn	0.9284412032816773	20	feature_map_005	5	7
CSIQ	VGG	vgg11_bn	0.8992707383773928	34	feature_map_004	4	8
CSIQ	ViT	vit_tiny	0.9175022789425706	25	block_011	11	1
CSIQ	ViT	vit_small	0.8372835004557886	43	block_011	11	2
CSIQ	ViT	vit_base	0.7014585232452142	61	canonical_embedding	13	3
CSIQ	ViT	vit_large	0.6536007292616226	65	canonical_embedding	25	4
CSIQ	ViT	vit_huge	0.6289881494986327	66	hidden_state_031	31	5
PieAPP	CLIP	clip_vit_b16	0.9412032816773017	15	hidden_state_012	12	1
PieAPP	CLIP	clip_vit_b32	0.9143117593436645	23	hidden_state_012	12	2
PieAPP	CLIP	clip_vit_l14	0.7151321786690975	54	hidden_state_002	2	3
PieAPP	CLIP	clip_vit_l14_336	0.7101185050136737	55	image_embeds	26	4
PieAPP	ConvNeXt	convnext_tiny	0.746809480401094	51	hidden_state_002	2	1
PieAPP	ConvNeXt	convnext_large	0.5818140382862351	64	hidden_state_002	2	2
PieAPP	ConvNeXt	convnext_small	0.44621695533272565	70	hidden_state_002	2	3
PieAPP	ConvNeXt	convnext_base	0.3869644484958979	74	hidden_state_002	2	4
PieAPP	DINO	dino_vitb16	0.9753874202370101	7	hidden_state_002	2	1
PieAPP	DINO	dino_vits16	0.9535095715587967	9	hidden_state_002	2	2
PieAPP	DINO	dino_vits8	0.951686417502279	12	hidden_state_002	2	3
PieAPP	DINO	dino_vitb8	0.9425706472196901	14	hidden_state_002	2	4
PieAPP	DINOv2	dinov2_base	0.8664539653600729	32	hidden_state_001	1	1
PieAPP	DINOv2	dinov2_giant	0.8268003646308113	38	hidden_state_003	3	2
PieAPP	DINOv2	dinov2_small	0.6987237921604376	57	hidden_state_011	11	3
PieAPP	DINOv2	dinov2_large	0.4512306289881495	69	hidden_state_004	4	4
PieAPP	DINOv3	dinov3_vits16plus	0.9051959890610757	25	block_000	0	1
PieAPP	DINOv3	dinov3_vits16	0.8910665451230629	27	block_007	7	2
PieAPP	DINOv3	dinov3_vitl16	0.8742023701002735	30	block_011	11	3
PieAPP	DINOv3	dinov3_vit7b16	0.8505013673655424	35	block_021	21	4
PieAPP	DINOv3	dinov3_vitb16	0.7962625341841385	48	block_001	1	5
PieAPP	DINOv3	dinov3_vith16plus	0.7515952597994531	49	block_016	16	6
PieAPP	FastViT	fastvit_t8	0.9412032816773017	16	feature_map_003	3	1
PieAPP	FastViT	fastvit_s12	0.8240656335460347	40	feature_map_003	3	2
PieAPP	FastViT	fastvit_ma36	0.8117593436645396	45	feature_map_002	2	3
PieAPP	FastViT	fastvit_sa12	0.731996353691887	52	feature_map_003	3	4
PieAPP	FastViT	fastvit_t12	0.6777575205104831	61	feature_map_000	0	5
PieAPP	FastViT	fastvit_sa24	0.6007292616226071	63	feature_map_001	1	6
PieAPP	FastViT	fastvit_sa36	0.4865542388331814	68	feature_map_003	3	7
PieAPP	FastViTHD	fastvithd_05b	1.0	1	image_embeddings	44	1
PieAPP	FastViTHD	fastvithd_15b	0.9968094804010939	2	image_embeddings	44	2
PieAPP	FastViTHD	fastvithd_7b	0.9927073837739289	3	block_043	43	3
PieAPP	I-JEPA	ijepa_vith14	0.987693710118505	4	hidden_state_006	6	1
PieAPP	InternViT	internvit_300m	0.8691886964448496	31	hidden_state_003	3	1
PieAPP	InternViT	internvit_300m_v25	0.8441203281677302	36	hidden_state_003	3	2
PieAPP	InternViT	internvit_6b_v25	0.49270738377392886	67	hidden_state_045	45	3
PieAPP	MAE	vit_mae_huge	0.935278030993619	18	hidden_state_022	22	1
PieAPP	MAE	vit_mae_base	0.9038286235186873	26	hidden_state_011	11	2
PieAPP	MAE	vit_mae_large	0.8062898814949863	46	hidden_state_020	20	3
PieAPP	ResNeXt	resnext50_32x4d	0.8644029170464904	33	feature_map_001	1	1
PieAPP	ResNeXt	resnext101_32x8d	0.7484047402005469	50	feature_map_003	3	2
PieAPP	ResNet	resnet18	0.9131722880583409	24	hidden_state_004	4	1
PieAPP	ResNet	resnet34	0.8420692798541477	37	hidden_state_003	3	2
PieAPP	ResNet	resnet50	0.7980856882406564	47	hidden_state_004	4	3
PieAPP	ResNet	resnet101	0.7310847766636281	53	hidden_state_002	2	4
PieAPP	ResNet	resnet152	0.6367365542388332	62	hidden_state_002	2	5
PieAPP	SigLIP	siglip_base	0.9293527803099362	21	hidden_state_012	12	1
PieAPP	SigLIP	siglip_so400m	0.822926162260711	41	image_embeds_l2	29	2
PieAPP	SigLIP	siglip_large	0.8172288058340931	44	hidden_state_012	12	3
PieAPP	SigLIP2	siglip2_base_naflex	0.9535095715587967	10	image_embeds_l2	2	1
PieAPP	SigLIP2	siglip2_large	0.9320875113947129	19	image_embeds_l2	2	2
PieAPP	SigLIP2	siglip2_so400m_naflex	0.818824065633546	42	image_embeds_l2	2	3
PieAPP	SigLIP2	siglip2_base	0.7060164083865086	56	image_embeds_l2	2	4
PieAPP	SigLIP2	siglip2_so400m	0.683682771194166	59	pooler_output	1	5
PieAPP	Swin	swin_tiny	0.6916590701914311	58	hidden_state_002	2	1
PieAPP	Swin	swin_small	0.680264357338195	60	hidden_state_002	2	2
PieAPP	Swin	swin_base	0.5068368277119417	65	hidden_state_002	2	3
PieAPP	Swin	swin_large	0.5015952597994531	66	hidden_state_002	2	4
PieAPP	SwinV2	swinv2_tiny	0.4402917046490428	71	hidden_state_002	2	1
PieAPP	SwinV2	swinv2_base	0.41157702825888787	72	hidden_state_002	2	2
PieAPP	SwinV2	swinv2_small	0.402461257976299	73	hidden_state_002	2	3
PieAPP	SwinV2	swinv2_large	0.2684594348222425	75	hidden_state_002	2	4
PieAPP	VGG	vgg11	0.9494074749316317	13	feature_map_005	5	1
PieAPP	VGG	vgg16	0.9298085688240656	20	feature_map_004	4	2
PieAPP	VGG	vgg19_bn	0.9147675478577939	22	feature_map_005	5	3
PieAPP	VGG	vgg13	0.8835460346399271	28	feature_map_003	3	4
PieAPP	VGG	vgg19	0.8805834092980858	29	feature_map_005	5	5
PieAPP	VGG	vgg13_bn	0.8561987237921604	34	feature_map_004	4	6
PieAPP	VGG	vgg16_bn	0.8247493163172288	39	feature_map_005	5	7
PieAPP	VGG	vgg11_bn	0.8176845943482225	43	feature_map_004	4	8
PieAPP	ViT	vit_huge	0.9849589790337283	5	hidden_state_003	3	1
PieAPP	ViT	vit_tiny	0.9790337283500457	6	block_001	1	2
PieAPP	ViT	vit_large	0.9635369188696445	8	hidden_state_002	2	3
PieAPP	ViT	vit_small	0.9535095715587967	11	block_002	2	4
PieAPP	ViT	vit_base	0.9407474931631723	17	hidden_state_002	2	5
TID2013	CLIP	clip_vit_l14_336	0.9762989972652689	7	image_embeds_l2	27	1
TID2013	CLIP	clip_vit_b16	0.9635369188696445	13	hidden_state_012	12	2
TID2013	CLIP	clip_vit_l14	0.9535095715587967	18	image_embeds_l2	27	3
TID2013	CLIP	clip_vit_b32	0.9102096627164995	30	image_embeds_l2	15	4
TID2013	ConvNeXt	convnext_tiny	0.736098450319052	52	hidden_state_002	2	1
TID2013	ConvNeXt	convnext_base	0.6093892433910666	62	hidden_state_004	4	2
TID2013	ConvNeXt	convnext_small	0.5897903372835005	65	hidden_state_004	4	3
TID2013	ConvNeXt	convnext_large	0.5382862351868734	68	hidden_state_004	4	4
TID2013	DINO	dino_vits8	0.898359161349134	33	hidden_state_012	12	1
TID2013	DINO	dino_vits16	0.8432087511394712	40	hidden_state_012	12	2
