model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
clip_vit_b16	CLIP	0	hidden_state_000	0.00911577028258892	0.00911577028258892	0.00911577028258892	4
clip_vit_b16	CLIP	1	hidden_state_001	0.44553327256153147	0.14630811303555152	0.7301731996353692	4
clip_vit_b16	CLIP	2	hidden_state_002	0.3030993618960802	0.11212397447584321	0.6157702825888787	4
clip_vit_b16	CLIP	3	hidden_state_003	0.32133090246125795	0.10756608933454875	0.7137648131267091	4
clip_vit_b16	CLIP	4	hidden_state_004	0.24054238833181402	0.13172288058340925	0.410665451230629	4
clip_vit_b16	CLIP	5	hidden_state_005	0.16687556973564266	0.14858705560619873	0.17821330902461258	4
clip_vit_b16	CLIP	6	hidden_state_006	0.2409981768459435	0.16545123062898814	0.3445761166818596	4
clip_vit_b16	CLIP	7	hidden_state_007	0.2801959890610757	0.11485870556061989	0.3682771194165907	4
clip_vit_b16	CLIP	8	hidden_state_008	0.4981768459434822	0.19963536918869645	0.7064721969006381	4
clip_vit_b16	CLIP	9	hidden_state_009	0.6504102096627165	0.30127620783956244	0.8208751139471285	4
clip_vit_b16	CLIP	10	hidden_state_010	0.8343208751139471	0.682771194165907	0.9193254329990884	4
clip_vit_b16	CLIP	11	hidden_state_011	0.9181859617137648	0.8413855970829535	0.9621695533272562	4
clip_vit_b16	CLIP	12	hidden_state_012	0.9608021877848678	0.9412032816773017	0.9731084776663628	4
clip_vit_b16	CLIP	13	pooler_output	0.9400638103919782	0.9083865086599818	0.9644484958979034	4
clip_vit_b16	CLIP	14	image_embeds	0.9336827711941659	0.8846855059252507	0.9649042844120328	4
clip_vit_b16	CLIP	15	image_embeds_l2	0.9355059252506837	0.8851412944393802	0.9699179580674566	4
clip_vit_b32	CLIP	0	hidden_state_000	0.00911577028258892	0.00911577028258892	0.00911577028258892	4
clip_vit_b32	CLIP	1	hidden_state_001	0.302073837739289	0.10619872379216044	0.5141294439380127	4
clip_vit_b32	CLIP	2	hidden_state_002	0.2756381039197812	0.09070191431175934	0.5232452142206017	4
clip_vit_b32	CLIP	3	hidden_state_003	0.2850957155879672	0.08067456700091158	0.7689152233363719	4
clip_vit_b32	CLIP	4	hidden_state_004	0.2449863263445761	0.09115770282588881	0.5410209662716499	4
clip_vit_b32	CLIP	5	hidden_state_005	0.1579307201458523	0.09708295350957152	0.3135824977210574	4
clip_vit_b32	CLIP	6	hidden_state_006	0.12010027347310848	0.10574293527803097	0.14311759343664537	4
clip_vit_b32	CLIP	7	hidden_state_007	0.22310847766636283	0.14083865086599817	0.27985414767547856	4
clip_vit_b32	CLIP	8	hidden_state_008	0.48074293527803097	0.2506836827711941	0.7288058340929808	4
clip_vit_b32	CLIP	9	hidden_state_009	0.6900068368277119	0.6103008204193254	0.841841385597083	4
clip_vit_b32	CLIP	10	hidden_state_010	0.7862351868732909	0.6918869644484958	0.8883318140382863	4
clip_vit_b32	CLIP	11	hidden_state_011	0.8808113035551504	0.8213309024612581	0.955788514129444	4
clip_vit_b32	CLIP	12	hidden_state_012	0.9164767547857794	0.8915223336371924	0.95077484047402	4
clip_vit_b32	CLIP	13	pooler_output	0.9026321786690975	0.8833181403828623	0.92616226071103	4
clip_vit_b32	CLIP	14	image_embeds	0.9121467639015497	0.8969917958067457	0.9398359161349135	4
clip_vit_b32	CLIP	15	image_embeds_l2	0.9186417502278943	0.8947128532360984	0.9416590701914311	4
clip_vit_l14	CLIP	0	hidden_state_000	0.00911577028258892	0.00911577028258892	0.00911577028258892	4
clip_vit_l14	CLIP	1	hidden_state_001	0.30389699179580676	0.10483135824977208	0.43026435733819507	4
clip_vit_l14	CLIP	2	hidden_state_002	0.32531905195989064	0.13947128532360986	0.7151321786690975	4
clip_vit_l14	CLIP	3	hidden_state_003	0.3360300820419325	0.1545123062898815	0.7060164083865086	4
clip_vit_l14	CLIP	4	hidden_state_004	0.26663628076572476	0.10164083865086604	0.6595259799453054	4
clip_vit_l14	CLIP	5	hidden_state_005	0.3164311759343664	0.1426618049225159	0.5601640838650866	4
clip_vit_l14	CLIP	6	hidden_state_006	0.23268003646308114	0.12215132178669097	0.288514129443938	4
