joint_rank	quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	global_alignment_score	global_best_layer_alignment	joint_score
1	12	siglip_base	SigLIP	0.9218459572490706	0.06308574208778041	16.25	4	12	hidden_state_012	0.8958526951672863	4	0	1.0	True	0.9283031288723668	hidden_state_005	0.9250745430607187
2	2	fastvithd_15b	FastViTHD	0.9922455855018587	0.0036794999191716023	1.5	4	44	image_embeddings	0.9922455855018587	4	2	1.0	True	0.815578531598513	block_041	0.9039120585501859
3	1	fastvithd_05b	FastViTHD	0.9937848513011153	0.004086264483494805	1.75	4	44	image_embeddings	0.9937848513011153	4	2	1.0	True	0.7979205390334573	block_041	0.8958526951672863
4	3	fastvithd_7b	FastViTHD	0.969301812267658	0.016024730956923982	10.75	4	45	canonical_embedding	0.9681110594795539	4	0	1.0	True	0.8127710656753407	block_043	0.8910364389714993
5	20	resnext101_32x8d	ResNeXt	0.884235594795539	0.06869476910597423	26.0	4	3	feature_map_003	0.884235594795539	4	0	1.0	True	0.8899086121437423	feature_map_002	0.8870721034696407
6	8	resnet18	ResNet	0.9319818773234201	0.030679759150251826	18.0	4	4	hidden_state_004	0.931342936802974	4	0	1.0	True	0.8358116480793061	hidden_state_002	0.8838967627013631
7	11	resnet34	ResNet	0.9280901486988848	0.03849776307251804	18.75	4	3	hidden_state_003	0.9195806226765799	4	0	1.0	True	0.8351146220570013	hidden_state_002	0.8816023853779431
8	4	vit_tiny	ViT	0.9396491635687733	0.018712278456473823	17.25	4	10	block_010	0.9251277881040892	4	0	1.0	True	0.8120934014869889	block_003	0.8758712825278812
9	7	vgg19	VGG	0.933869656133829	0.09033665860711922	10.25	4	5	feature_map_005	0.9314010223048328	4	0	1.0	True	0.8089374225526642	feature_map_002	0.8714035393432467
10	26	resnext50_32x4d	ResNeXt	0.8687267657992566	0.052018283013758285	29.75	4	3	feature_map_003	0.8399744423791822	4	0	1.0	True	0.8550960346964065	feature_map_002	0.8619114002478315
11	27	siglip_large	SigLIP	0.8680297397769516	0.08653156899737631	31.125	4	12	hidden_state_012	0.8058492100371747	4	0	1.0	True	0.8527726146220571	hidden_state_012	0.8604011771995044
12	32	dinov2_small	DINOv2	0.8552509293680297	0.11515333180182481	29.75	4	12	hidden_state_012	0.8357632434944238	4	0	1.0	True	0.8651835501858736	hidden_state_004	0.8602172397769516
13	19	dinov2_base	DINOv2	0.8848454925650557	0.042978433915345726	27.0	4	12	hidden_state_012	0.778171468401487	4	0	1.0	True	0.8267696716232962	hidden_state_004	0.855807582094176
14	5	vgg16	VGG	0.9381389405204461	0.08100653736219217	10.25	4	5	feature_map_005	0.9381389405204461	4	0	1.0	True	0.7610362453531598	feature_map_002	0.849587592936803
15	33	resnet50	ResNet	0.8542634758364313	0.08479936215614012	32.75	4	4	hidden_state_004	0.8508364312267658	4	0	1.0	True	0.8432853159851301	hidden_state_002	0.8487743959107807
16	6	vgg11	VGG	0.9380227695167287	0.0542893153076773	10.75	4	5	feature_map_005	0.9380227695167287	4	0	1.0	True	0.7507163878562577	feature_map_005	0.8443695786864932
17	13	vgg13	VGG	0.9163278345724907	0.09456467323540861	15.0	4	5	feature_map_005	0.9163278345724907	4	0	1.0	True	0.7706397149938042	feature_map_002	0.8434837747831474
18	30	vit_small	ViT	0.8622211895910781	0.04642329071977202	31.0	4	11	block_011	0.8159560873605948	4	0	1.0	True	0.8209998451053284	block_003	0.8416105173482032
19	28	siglip_so400m	SigLIP	0.8671875	0.14989342470485897	25.25	4	29	image_embeds_l2	0.8642251394052045	4	0	1.0	True	0.8160044919454771	hidden_state_011	0.8415959959727386
20	10	vgg11_bn	VGG	0.9289904739776952	0.06001907056877361	13.5	4	5	feature_map_005	0.9289904739776952	4	0	1.0	True	0.7400286555142503	feature_map_005	0.8345095647459728
21	34	clip_vit_l14	CLIP	0.8528113382899628	0.1168593108153543	30.5	4	24	hidden_state_024	0.7894400557620818	4	0	1.0	True	0.784328531598513	hidden_state_019	0.8185699349442379
22	46	dinov2_large	DINOv2	0.7830216078066914	0.13141652887341634	42.0	4	22	hidden_state_022	0.7448594330855018	4	0	1.0	True	0.8525015489467163	hidden_state_009	0.8177615783767038
23	50	resnet101	ResNet	0.7668738382899629	0.07073761904152595	45.25	4	3	hidden_state_003	0.7475023234200744	4	0	1.0	True	0.8667324969021066	hidden_state_002	0.8168031675960348
24	18	clip_vit_b32	CLIP	0.8893180762081785	0.0744185399594229	26.75	4	12	hidden_state_012	0.8837418680297398	4	0	1.0	True	0.7381505576208178	hidden_state_010	0.8137343169144982
25	16	vgg13_bn	VGG	0.9015741171003717	0.10572085929909689	19.25	4	5	feature_map_005	0.9015741171003717	4	0	1.0	True	0.7233968401486989	feature_map_005	0.8124854786245352
26	37	dinov2_giant	DINOv2	0.8344272769516728	0.05484645657586144	37.0	4	35	hidden_state_035	0.7592646375464684	4	0	1.0	True	0.7861485439900868	hidden_state_012	0.8102879104708798
27	15	vgg16_bn	VGG	0.9062790427509294	0.09391178633339227	20.75	4	5	feature_map_005	0.9062790427509294	4	0	1.0	True	0.7059131040892193	feature_map_005	0.8060960734200744
