alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible
52	siglip2_base	SigLIP2	0.6638785625774473	0.11358589813482996	46.25	4	1	pooler_output	0.6609936493184634	4	1.0	True
53	convnext_small	ConvNeXt	0.6560176579925651	0.045214736988895075	53.25	4	1	hidden_state_001	0.6506931536555143	4	1.0	True
54	fastvit_t12	FastViT	0.6538491325898389	0.058115891988037995	50.5	4	1	feature_map_001	0.6538491325898389	4	1.0	True
55	swinv2_base	SwinV2	0.6474597273853779	0.06221716189077706	51.25	4	2	hidden_state_002	0.6474597273853779	4	1.0	True
56	swin_small	Swin	0.6451363073110284	0.0838896585856665	51.75	4	2	hidden_state_002	0.6451363073110284	4	1.0	True
57	internvit_6b_v25	InternViT	0.6445167286245354	0.11674900098429894	56.0	4	17	hidden_state_017	0.6209727385377943	4	1.0	True
58	swinv2_small	SwinV2	0.6411477695167286	0.06276399420626401	53.0	4	2	hidden_state_002	0.6411477695167286	4	1.0	True
59	dino_vitb8	DINO	0.6316217472118959	0.02378058879389056	56.0	4	3	hidden_state_003	0.602985594795539	4	1.0	True
60	dino_vits16	DINO	0.6242448884758365	0.09557808275045201	53.5	4	5	hidden_state_005	0.6072064745972738	4	1.0	True
61	siglip2_base_naflex	SigLIP2	0.6215148698884758	0.0678028093122046	57.25	4	1	pooler_output	0.6187074039653035	4	1.0	True
62	swin_base	Swin	0.614873760842627	0.08151957305668268	57.25	4	2	hidden_state_002	0.614873760842627	4	1.0	True
63	ijepa_vith14	I-JEPA	0.6145446096654275	0.06670664064818206	57.5	4	12	hidden_state_012	0.594853624535316	4	1.0	True
64	fastvit_t8	FastViT	0.6145058859975217	0.09593575174525204	54.75	4	1	feature_map_001	0.6029468711276332	4	1.0	True
65	fastvit_sa36	FastViT	0.6088522304832714	0.1022792355989693	55.5	4	3	feature_map_003	0.5124109355638167	4	1.0	True
66	convnext_large	ConvNeXt	0.6030243184634448	0.08207768706350448	62.0	4	1	hidden_state_001	0.6030243184634448	4	1.0	True
67	swin_large	Swin	0.6027532527881041	0.07424052034668287	60.5	4	2	hidden_state_002	0.6027532527881041	4	1.0	True
68	vit_huge	ViT	0.6022304832713754	0.06866128925406896	56.75	4	8	hidden_state_008	0.5996553593556382	4	1.0	True
69	swinv2_large	SwinV2	0.5964800185873607	0.07153064141817844	63.25	4	2	hidden_state_002	0.5746398698884758	4	1.0	True
70	vit_base	ViT	0.5839722738537794	0.06145897185209383	61.0	4	3	hidden_state_003	0.5210463135068154	4	1.0	True
71	siglip2_so400m_naflex	SigLIP2	0.5775054213135068	0.07372616969984487	64.5	4	2	image_embeds_l2	0.5741751858736059	4	1.0	True
72	dino_vitb16	DINO	0.5587050805452293	0.08208725289950142	64.5	4	4	hidden_state_004	0.5236988847583643	4	1.0	True
73	siglip2_large	SigLIP2	0.5583662484510532	0.06874059356099932	65.25	4	1	pooler_output	0.5572819857496902	4	1.0	True
74	vit_large	ViT	0.549508209417596	0.064817552849284	67.5	4	4	hidden_state_004	0.5084998451053284	4	1.0	True
75	siglip2_so400m	SigLIP2	0.45947568153655516	0.00657285072107397	74.5	4	2	image_embeds_l2	0.45471267038413876	4	1.0	True
