dataset	model_key	family	layer_index	layer_name	quality_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
LIVEC	vit_huge	ViT	2	hidden_state_002	0.9254462125034755	8	0.011389698393220708	12.0	12
LIVEC	vit_large	ViT	1	hidden_state_001	0.7971758324837726	8	0.0066093114349533655	42.0	42
LIVEC	vit_mae_base	MAE	13	canonical_embedding	0.8724376945837495	8	0.009957387359978786	26.0	26
LIVEC	vit_mae_huge	MAE	25	hidden_state_025	0.996987062647815	8	0.026283164318882293	1.0	1
LIVEC	vit_mae_large	MAE	2	hidden_state_002	0.945614163809053	8	0.013409909532401829	11.0	11
LIVEC	vit_small	ViT	0	block_000	0.8382485574629197	8	0.007822479075191095	34.0	34
LIVEC	vit_tiny	ViT	10	block_010	0.8949583500671068	8	0.011053294061470483	19.0	19
SPAQ	clip_vit_b16	CLIP	9	hidden_state_009	0.9168771444910409	8	0.3147038136518955	16.0	16
SPAQ	clip_vit_b32	CLIP	4	hidden_state_004	0.9529277208405283	8	0.34079113666218863	9.0	9
SPAQ	clip_vit_l14	CLIP	16	hidden_state_016	0.9931046904083783	8	0.38071338084580336	3.0	3
SPAQ	clip_vit_l14_336	CLIP	16	hidden_state_016	0.997461067442608	8	0.4045260404741558	2.0	2
SPAQ	convnext_base	ConvNeXt	1	hidden_state_001	0.6170249695379486	8	0.22288131437304412	51.0	51
SPAQ	convnext_large	ConvNeXt	2	hidden_state_002	0.40879944476837626	8	0.16935023205597377	70.0	70
SPAQ	convnext_small	ConvNeXt	2	hidden_state_002	0.5862294474595022	8	0.2137909088100498	56.0	56
SPAQ	convnext_tiny	ConvNeXt	2	hidden_state_002	0.4528991042661823	8	0.18054901248294336	67.0	67
SPAQ	dino_vitb16	DINO	5	hidden_state_005	0.4555673370186809	8	0.18261071079372437	66.0	66
SPAQ	dino_vitb8	DINO	5	hidden_state_005	0.629785625649421	8	0.22721684597609487	48.0	48
SPAQ	dino_vits16	DINO	6	hidden_state_006	0.5150710064811285	8	0.19733502188997887	62.0	62
SPAQ	dino_vits8	DINO	6	hidden_state_006	0.573407820524321	8	0.21177755622243483	57.0	57
SPAQ	dinov2_base	DINOv2	5	hidden_state_005	0.9662367639583473	8	0.3494110543464391	8.0	8
