model_key	family	layer_index	layer_name	mean_alignment	min_alignment	max_alignment	dataset_count
clip_vit_b16	CLIP	0	hidden_state_000	0.04910692634080399	0.036885245901639385	0.06464459880069856	3
clip_vit_b16	CLIP	1	hidden_state_001	0.5328396949409233	0.4594278491673706	0.5963153089140382	4
clip_vit_b16	CLIP	2	hidden_state_002	0.7655193131586246	0.6384041591601693	0.8212142393856029	4
clip_vit_b16	CLIP	3	hidden_state_003	0.9029727100747056	0.8891971498234116	0.9165537410388543	4
clip_vit_b16	CLIP	4	hidden_state_004	0.9386043858190231	0.9040544073612584	0.9698528835538062	4
clip_vit_b16	CLIP	5	hidden_state_005	0.8916129105470363	0.7106907215374246	0.9807036243827277	4
clip_vit_b16	CLIP	6	hidden_state_006	0.8465228723359194	0.5512484682161283	0.978172747249724	4
clip_vit_b16	CLIP	7	hidden_state_007	0.7403797105011983	0.36080089269675203	0.965790845481317	4
clip_vit_b16	CLIP	8	hidden_state_008	0.8904939092517832	0.7757858866497097	0.9573541715681851	4
clip_vit_b16	CLIP	9	hidden_state_009	0.8220864621735129	0.7386401738029981	0.8580936419152511	4
clip_vit_b16	CLIP	10	hidden_state_010	0.5385053197553682	0.4847399294576135	0.5899834405622644	4
clip_vit_b16	CLIP	11	hidden_state_011	0.16971259489692958	0.10815007165006289	0.25581909279152	4
clip_vit_b16	CLIP	12	hidden_state_012	0.04558068160986753	0.038053580087279805	0.05955385471766548	4
clip_vit_b16	CLIP	13	pooler_output	0.07605209782410917	0.0480592589685512	0.10485890139488159	4
clip_vit_b16	CLIP	14	image_embeds	0.05798296621667739	0.02969679045631025	0.08417145223980842	4
clip_vit_b16	CLIP	15	image_embeds_l2	0.026888641093604664	0.019913553806323647	0.03366735539574676	4
clip_vit_b32	CLIP	0	hidden_state_000	0.06586144029170465	0.06586144029170465	0.06586144029170465	1
clip_vit_b32	CLIP	1	hidden_state_001	0.41166521109276644	0.29402443878809625	0.46687356475712855	4
clip_vit_b32	CLIP	2	hidden_state_002	0.5213813103141837	0.4141570514976864	0.5731116437313855	4
clip_vit_b32	CLIP	3	hidden_state_003	0.7273791702252443	0.6701016678751816	0.7689292465212462	4
clip_vit_b32	CLIP	4	hidden_state_004	0.8912208091478023	0.8640576854645582	0.9356863710664086	4
clip_vit_b32	CLIP	5	hidden_state_005	0.87329904605158	0.7055197710247706	0.9395457579443075	4
clip_vit_b32	CLIP	6	hidden_state_006	0.8310392559232138	0.5669767849644328	0.9672598373161754	4
clip_vit_b32	CLIP	7	hidden_state_007	0.8184447789651428	0.5572219247329175	0.9623867449135513	4
clip_vit_b32	CLIP	8	hidden_state_008	0.872075471523575	0.745766855915632	0.9523590001310979	4
clip_vit_b32	CLIP	9	hidden_state_009	0.7193005349097713	0.6396273013536734	0.8397558231507691	4
clip_vit_b32	CLIP	10	hidden_state_010	0.4527432832359641	0.4352411313128534	0.4690698826868402	4
clip_vit_b32	CLIP	11	hidden_state_011	0.11472147027682313	0.0876050261180303	0.14071887718382894	4
clip_vit_b32	CLIP	12	hidden_state_012	0.060237839828581184	0.03531643468163731	0.08382956553031105	4
clip_vit_b32	CLIP	13	pooler_output	0.08011192411699122	0.04223557195148998	0.12517597163865823	4
clip_vit_b32	CLIP	14	image_embeds	0.0602986041847717	0.02667777724283471	0.08968195351657166	4
clip_vit_b32	CLIP	15	image_embeds_l2	0.022786163141102937	0.012899650901153461	0.04135973061572618	4
clip_vit_l14	CLIP	0	hidden_state_000	0.06586144029170465	0.06586144029170465	0.06586144029170465	1
clip_vit_l14	CLIP	1	hidden_state_001	0.42365653111550017	0.33226264517752707	0.48660361323644336	4
clip_vit_l14	CLIP	2	hidden_state_002	0.5516677103499674	0.411974872233809	0.6454194772245708	4
clip_vit_l14	CLIP	3	hidden_state_003	0.6249335491659851	0.47765306402138946	0.7226023230472635	4
clip_vit_l14	CLIP	4	hidden_state_004	0.7184735771075764	0.6566200298266466	0.775423129775718	4
clip_vit_l14	CLIP	5	hidden_state_005	0.885427775487146	0.8633702845090728	0.9130975763669301	4
