reference_model_key	model_key	family	reference_alignment_score	dataset_count
maniqa_kadid10k	dinov2_base	DINOv2	0.9613062669171206	4
maniqa_kadid10k	vit_tiny	ViT	0.9591669377167722	4
maniqa_kadid10k	clip_vit_b16	CLIP	0.9560526761205759	4
maniqa_kadid10k	vit_small	ViT	0.9506638652347731	4
maniqa_kadid10k	clip_vit_l14_336	CLIP	0.9462974790702718	4
maniqa_kadid10k	vit_mae_huge	MAE	0.9400640393427551	4
maniqa_kadid10k	siglip_so400m	SigLIP	0.9310307003808304	4
maniqa_kadid10k	clip_vit_b32	CLIP	0.9289807020461963	4
maniqa_kadid10k	siglip_large	SigLIP	0.9245345979758617	4
maniqa_kadid10k	dinov2_small	DINOv2	0.919911762237968	4
maniqa_kadid10k	internvit_6b_v25	InternViT	0.9122622210710554	4
maniqa_kadid10k	dino_vitb8	DINO	0.9073233802705563	4
maniqa_kadid10k	internvit_300m_v25	InternViT	0.9025142859747997	4
maniqa_kadid10k	vit_huge	ViT	0.902369803513142	4
maniqa_kadid10k	ijepa_vith14	I-JEPA	0.8879543284207008	4
maniqa_kadid10k	vit_mae_base	MAE	0.8782298050784518	4
maniqa_kadid10k	siglip_base	SigLIP	0.864312580703803	4
maniqa_kadid10k	internvit_300m	InternViT	0.8578901798124687	4
maniqa_kadid10k	fastvit_sa24	FastViT	0.848722978740136	4
maniqa_kadid10k	vit_base	ViT	0.847703771827856	4
maniqa_kadid10k	vgg19_bn	VGG	0.8355402307119872	4
maniqa_kadid10k	resnext101_32x8d	ResNeXt	0.8260248063790526	4
maniqa_kadid10k	vit_large	ViT	0.8161895910165734	4
maniqa_kadid10k	dino_vits16	DINO	0.8079533219419563	4
maniqa_kadid10k	dino_vits8	DINO	0.7985721315331622	4
maniqa_kadid10k	dino_vitb16	DINO	0.7982934909452046	4
maniqa_kadid10k	fastvit_ma36	FastViT	0.7894748218503665	4
maniqa_kadid10k	dinov3_vith16plus	DINOv3	0.7878453244386873	4
maniqa_kadid10k	vgg16_bn	VGG	0.7858587771977825	4
maniqa_kadid10k	resnet18	ResNet	0.7849543462187326	4
maniqa_kadid10k	vgg11_bn	VGG	0.7798435571085227	4
maniqa_kadid10k	resnext50_32x4d	ResNeXt	0.7606915658288123	4
maniqa_kadid10k	resnet152	ResNet	0.7565283371942956	4
maniqa_kadid10k	resnet50	ResNet	0.7491282499797352	4
maniqa_kadid10k	resnet34	ResNet	0.7477085995748081	4
maniqa_kadid10k	resnet101	ResNet	0.7456998450517851	4
maniqa_kadid10k	swin_base	Swin	0.7304675722480585	4
maniqa_kadid10k	swinv2_large	SwinV2	0.7284702732537192	4
maniqa_kadid10k	vgg13_bn	VGG	0.7172906431996944	4
maniqa_kadid10k	fastvithd_15b	FastViTHD	0.7151674102307476	4
maniqa_kadid10k	vgg13	VGG	0.7042755478241312	4
maniqa_kadid10k	dinov3_vitb16	DINOv3	0.7028911482527301	4
maniqa_kadid10k	fastvithd_05b	FastViTHD	0.7022337822459387	4
maniqa_kadid10k	fastvithd_7b	FastViTHD	0.6930684128232376	4
maniqa_kadid10k	vgg16	VGG	0.6815490203362238	4
maniqa_kadid10k	fastvit_sa12	FastViT	0.6807633827047799	4
maniqa_kadid10k	vgg19	VGG	0.6764725201474342	4
maniqa_kadid10k	dinov3_vitl16	DINOv3	0.6565390869976031	4
maniqa_kadid10k	swin_large	Swin	0.6452177872434453	4
maniqa_kadid10k	dinov3_vits16plus	DINOv3	0.6424402185189204	4
maniqa_kadid10k	convnext_small	ConvNeXt	0.6393662042511857	4
maniqa_kadid10k	fastvit_s12	FastViT	0.6334445028165592	4
maniqa_kadid10k	fastvit_t12	FastViT	0.6291709666980385	4
maniqa_kadid10k	vgg11	VGG	0.6203160123044643	4
maniqa_kadid10k	convnext_base	ConvNeXt	0.6142689351689443	4
maniqa_kadid10k	dinov3_vits16	DINOv3	0.5914437741380115	4
maniqa_kadid10k	swin_tiny	Swin	0.5764479433017835	4
maniqa_kadid10k	swin_small	Swin	0.5728563491172194	4
maniqa_kadid10k	swinv2_tiny	SwinV2	0.5687771990131891	4
maniqa_kadid10k	dinov3_vit7b16	DINOv3	0.5624930347519265	3
maniqa_kadid10k	fastvit_t8	FastViT	0.5543655143481696	4
maniqa_kadid10k	convnext_tiny	ConvNeXt	0.5397322542514802	4
maniqa_kadid10k	fastvit_sa36	FastViT	0.5243081113988636	4
maniqa_kadid10k	swinv2_base	SwinV2	0.5060068054259428	4
maniqa_kadid10k	swinv2_small	SwinV2	0.47216831876243526	4
maniqa_kadid10k	convnext_large	ConvNeXt	0.40212591829747196	4
maniqa_kadid10k	siglip2_so400m	SigLIP2	0.16631183891227957	4
maniqa_kadid10k	siglip2_large	SigLIP2	0.155413840923359	4
maniqa_kadid10k	siglip2_so400m_naflex	SigLIP2	0.11002260759687855	3
maniqa_kadid10k	siglip2_base	SigLIP2	0.07912083607211697	4
maniqa_kadid10k	siglip2_base_naflex	SigLIP2	0.07832588890709956	4
