model_key	family	layer_index	layer_name	mean_quality	min_quality	max_quality	dataset_count
clip_vit_b16	CLIP	0	hidden_state_000	0.04960628038428982	0.0024108003857280513	0.09506669016584632	3
clip_vit_b16	CLIP	1	hidden_state_001	0.6380666850046124	0.4792591741233283	0.778114777380744	4
clip_vit_b16	CLIP	2	hidden_state_002	0.7027516767962585	0.5846876963000339	0.8346125452444815	4
clip_vit_b16	CLIP	3	hidden_state_003	0.6966542511815375	0.39022934280035837	0.8944919752117393	4
clip_vit_b16	CLIP	4	hidden_state_004	0.6897277074795386	0.1314287724790356	0.9183141176031766	4
clip_vit_b16	CLIP	5	hidden_state_005	0.6695584923487722	0.052319536980781026	0.9045759028896809	4
clip_vit_b16	CLIP	6	hidden_state_006	0.6951219158377323	0.06939742540169636	0.9296825169022037	4
clip_vit_b16	CLIP	7	hidden_state_007	0.616895325518364	0.06859999673905955	0.9076369592728748	4
clip_vit_b16	CLIP	8	hidden_state_008	0.6962480247328067	0.023662842784911778	0.9602737874584908	4
clip_vit_b16	CLIP	9	hidden_state_009	0.7068607516668104	0.14689753696018565	0.9212410196783226	4
clip_vit_b16	CLIP	10	hidden_state_010	0.5810730114484983	0.07654746642089473	0.8326568175250906	4
clip_vit_b16	CLIP	11	hidden_state_011	0.40768801983160924	0.22308357606374382	0.6636176873410291	4
clip_vit_b16	CLIP	12	hidden_state_012	0.18406973115356515	0.04639102579533615	0.2835963753788698	4
clip_vit_b16	CLIP	13	pooler_output	0.24601915529329416	0.06624444614479916	0.3613097942855833	4
clip_vit_b16	CLIP	14	image_embeds	0.259799590479159	0.02920416521945468	0.4589089322307922	4
clip_vit_b16	CLIP	15	image_embeds_l2	0.2648840552530743	0.018086138058867426	0.5963391223607836	4
clip_vit_b32	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1
clip_vit_b32	CLIP	1	hidden_state_001	0.5461494546840249	0.3227127297735716	0.743938414237136	4
clip_vit_b32	CLIP	2	hidden_state_002	0.5476305331463869	0.3585409144595696	0.7009969681835189	4
clip_vit_b32	CLIP	3	hidden_state_003	0.6377787050480497	0.4074922681385522	0.7612203329623114	4
clip_vit_b32	CLIP	4	hidden_state_004	0.6754088489641369	0.1663639569967768	0.9529277208405283	4
clip_vit_b32	CLIP	5	hidden_state_005	0.684242131510215	0.11348759297971009	0.9344214406120817	4
clip_vit_b32	CLIP	6	hidden_state_006	0.6434024432229762	0.036208560311951854	0.8671384147956078	4
clip_vit_b32	CLIP	7	hidden_state_007	0.6518740950620119	0.013924752082711184	0.9335929131568749	4
clip_vit_b32	CLIP	8	hidden_state_008	0.676584338530082	0.038257589409838436	0.9134885916814305	4
clip_vit_b32	CLIP	9	hidden_state_009	0.6316880344403255	0.18242462507766188	0.874308533616676	4
clip_vit_b32	CLIP	10	hidden_state_010	0.6419513036311068	0.536122643395902	0.7376884934506277	4
clip_vit_b32	CLIP	11	hidden_state_011	0.20135999251442216	0.04798679196943488	0.3173773586039056	4
clip_vit_b32	CLIP	12	hidden_state_012	0.14815057535506676	0.08157149599881701	0.21645941149824816	4
clip_vit_b32	CLIP	13	pooler_output	0.2271655857695872	0.10968821035183587	0.3885900029985686	4
clip_vit_b32	CLIP	14	image_embeds	0.18379071567479843	0.04241219578457234	0.2931580307779733	4
clip_vit_b32	CLIP	15	image_embeds_l2	0.13562918108888244	0.016927114677652857	0.20743459341012152	4
clip_vit_l14	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1
clip_vit_l14	CLIP	1	hidden_state_001	0.5420179936095977	0.25861744335553516	0.7775481889766482	4
clip_vit_l14	CLIP	2	hidden_state_002	0.5521062672636681	0.312582696059743	0.8682444898687729	4
clip_vit_l14	CLIP	3	hidden_state_003	0.6449677422104281	0.49642234145720776	0.8525966954659198	4
clip_vit_l14	CLIP	4	hidden_state_004	0.6630094127287216	0.5472520452974494	0.7584195053406908	4
clip_vit_l14	CLIP	5	hidden_state_005	0.7608084062652607	0.5263573021038215	0.9069560701711108	4
clip_vit_l14	CLIP	6	hidden_state_006	0.736018191791359	0.25332251215987533	0.9407087940017791	4
