dataset	family	model_key	corr_metric	layer_index	layer_name	metric_score	raw_value_mean	family_rank
LIVEC	DINOv2	dinov2_large	pcc	10	hidden_state_010	0.9951343335839109	0.41104869526113047	1
LIVEC	DINOv2	dinov2_giant	pcc	15	hidden_state_015	0.9745114596312734	0.37841794908390713	2
LIVEC	DINOv2	dinov2_base	pcc	4	hidden_state_004	0.9648011512836091	0.3726239999318597	3
LIVEC	DINOv2	dinov2_small	pcc	5	hidden_state_005	0.9420947080085265	0.36650998936116974	4
LIVEC	DINOv3	dinov3_vitl16	pcc	5	block_005	0.7125229982116317	0.28200367773733254	1
LIVEC	DINOv3	dinov3_vitb16	pcc	3	block_003	0.7057099925513255	0.2695336333676117	2
LIVEC	DINOv3	dinov3_vith16plus	pcc	4	block_004	0.6838921555502923	0.2715572088039996	3
LIVEC	DINOv3	dinov3_vits16plus	pcc	0	block_000	0.674314644711956	0.26468895951925153	4
LIVEC	DINOv3	dinov3_vits16	pcc	1	block_001	0.6430385786418698	0.26082249173578437	5
LIVEC	DINOv3	dinov3_vit7b16	pcc	9	block_009	0.5617677901464677	0.2343171897198813	6
LIVEC	FastViT	fastvit_ma36	pcc	1	feature_map_001	0.8873671166764495	0.3279210400963244	1
LIVEC	FastViT	fastvit_sa24	pcc	2	feature_map_002	0.8652079536053987	0.31731383006298464	2
LIVEC	FastViT	fastvit_sa12	pcc	2	feature_map_002	0.6610016407679343	0.24449706840844726	3
LIVEC	FastViT	fastvit_t12	pcc	0	feature_map_000	0.6265869195096918	0.2557625156079763	4
LIVEC	FastViT	fastvit_sa36	pcc	0	feature_map_000	0.6101273225619321	0.24783147578241055	5
LIVEC	FastViT	fastvit_s12	pcc	0	feature_map_000	0.568278086136884	0.23520352017034007	6
LIVEC	FastViT	fastvit_t8	pcc	1	feature_map_001	0.5375718265042375	0.22821737690807464	7
LIVEC	FastViTHD	fastvithd_15b	pcc	5	block_005	0.8223793623660011	0.3007165566670181	1
LIVEC	FastViTHD	fastvithd_05b	pcc	5	block_005	0.7811501336985587	0.28870796849173863	2
LIVEC	FastViTHD	fastvithd_7b	pcc	5	block_005	0.7503162254099346	0.27966074709736216	3
LIVEC	I-JEPA	ijepa_vith14	pcc	20	hidden_state_020	0.860075404957316	0.31456685722805194	1
LIVEC	InternViT	internvit_300m_v25	pcc	9	hidden_state_009	0.9791658085244416	0.38401689442979814	1
LIVEC	InternViT	internvit_300m	pcc	7	hidden_state_007	0.9539351398943455	0.36903135150560185	2
LIVEC	InternViT	internvit_6b_v25	pcc	22	hidden_state_022	0.8870706285376914	0.3316811568220442	3
LIVEC	MAE	vit_mae_large	pcc	8	hidden_state_008	0.9990766389658357	0.43132229236550473	1
LIVEC	MAE	vit_mae_huge	pcc	7	hidden_state_007	0.9875015875631163	0.4026829052437437	2
LIVEC	MAE	vit_mae_base	pcc	3	hidden_state_003	0.966033443518795	0.3782921895980031	3
LIVEC	ResNeXt	resnext101_32x8d	pcc	1	feature_map_001	0.690165604286592	0.2691417348150162	1
LIVEC	ResNeXt	resnext50_32x4d	pcc	2	feature_map_002	0.6752030364504491	0.25985320085101377	2
LIVEC	ResNet	resnet18	pcc	1	hidden_state_001	0.7884818863339134	0.2906684833971858	1
LIVEC	ResNet	resnet34	pcc	1	hidden_state_001	0.7653287800306872	0.2837561152848775	2
LIVEC	ResNet	resnet50	pcc	1	hidden_state_001	0.6918445595499215	0.26433670720767405	3
LIVEC	ResNet	resnet101	pcc	1	hidden_state_001	0.6400717664342818	0.24598564435415393	4
LIVEC	ResNet	resnet152	pcc	2	hidden_state_002	0.6008104724244577	0.23775889683789897	5
LIVEC	SigLIP	siglip_so400m	pcc	5	hidden_state_005	0.9849187940012426	0.3935369980605853	1
LIVEC	SigLIP	siglip_large	pcc	8	hidden_state_008	0.9472808905456755	0.36934799216680514	2
LIVEC	SigLIP	siglip_base	pcc	3	hidden_state_003	0.8880806619365867	0.32599688184359665	3
LIVEC	SigLIP2	siglip2_large	pcc	0	hidden_state_000	0.12205828845249495	0.06935542672923409	1
LIVEC	SigLIP2	siglip2_so400m	pcc	1	pooler_output	0.09285184689369677	0.03165521440413311	2
LIVEC	SigLIP2	siglip2_base	pcc	1	pooler_output	0.0568392648123929	0.009683622999942436	3
LIVEC	SigLIP2	siglip2_so400m_naflex	pcc	1	pooler_output	0.052904468174937436	0.006213591168631523	4
LIVEC	SigLIP2	siglip2_base_naflex	pcc	1	pooler_output	0.05010585184346111	-0.0021495261498646855	5
LIVEC	Swin	swin_tiny	pcc	2	hidden_state_002	0.6207830891060561	0.2476912512574043	1
LIVEC	Swin	swin_large	pcc	1	hidden_state_001	0.6066282476392508	0.24808308377863134	2
LIVEC	Swin	swin_base	pcc	2	hidden_state_002	0.5842082093317819	0.24077366680283863	3
LIVEC	Swin	swin_small	pcc	2	hidden_state_002	0.5723137144857839	0.23401904374785004	4
LIVEC	SwinV2	swinv2_tiny	pcc	2	hidden_state_002	0.6554501041784662	0.2592971973212273	1
LIVEC	SwinV2	swinv2_base	pcc	2	hidden_state_002	0.6078545328788612	0.24966089469317782	2
LIVEC	SwinV2	swinv2_large	pcc	3	hidden_state_003	0.5870272065411033	0.22359082442496614	3
LIVEC	SwinV2	swinv2_small	pcc	2	hidden_state_002	0.5836744448677946	0.24013539484859198	4
LIVEC	VGG	vgg19_bn	pcc	2	feature_map_002	0.8775355957394955	0.32277264188429333	1
LIVEC	VGG	vgg16_bn	pcc	1	feature_map_001	0.7895099407195351	0.2963481496562309	2
LIVEC	VGG	vgg11_bn	pcc	2	feature_map_002	0.7524748821770725	0.281032949921884	3
LIVEC	VGG	vgg13_bn	pcc	1	feature_map_001	0.750383804110158	0.2792673359533813	4
LIVEC	VGG	vgg13	pcc	1	feature_map_001	0.7201561733035386	0.27810110201680266	5
LIVEC	VGG	vgg16	pcc	1	feature_map_001	0.7118954817095566	0.2763875847381492	6
LIVEC	VGG	vgg19	pcc	1	feature_map_001	0.683865124070203	0.2708813505384791	7
LIVEC	VGG	vgg11	pcc	2	feature_map_002	0.5418689736962246	0.22155709844932236	8
LIVEC	ViT	vit_tiny	pcc	3	block_003	0.9747483068853899	0.37741425208371787	1
LIVEC	ViT	vit_huge	pcc	8	hidden_state_008	0.9388404181555434	0.3526711647732313	2
LIVEC	ViT	vit_small	pcc	3	block_003	0.933988267479499	0.3490616498405125	3
LIVEC	ViT	vit_base	pcc	3	hidden_state_003	0.880366821475524	0.32529599007921417	4
LIVEC	ViT	vit_large	pcc	5	hidden_state_005	0.8706835446079491	0.32189176396464925	5
LIVEC	CLIP	clip_vit_l14	scc	6	hidden_state_006	0.9186802973977695	0.41169079706705725	1
LIVEC	CLIP	clip_vit_b16	scc	3	hidden_state_003	0.9089219330855018	0.4056104737686194	2
LIVEC	CLIP	clip_vit_l14_336	scc	5	hidden_state_005	0.8889405204460967	0.39906238995622945	3
LIVEC	CLIP	clip_vit_b32	scc	4	hidden_state_004	0.8510687732342007	0.3781235899307138	4
LIVEC	ConvNeXt	convnext_small	scc	1	hidden_state_001	0.6851765799256506	0.32451045002777074	1
LIVEC	ConvNeXt	convnext_base	scc	1	hidden_state_001	0.5924721189591078	0.3000674886371692	2
LIVEC	ConvNeXt	convnext_tiny	scc	1	hidden_state_001	0.5625	0.28449748756290044	3
LIVEC	ConvNeXt	convnext_large	scc	2	hidden_state_002	0.41124535315985133	0.2429974027555082	4
LIVEC	DINO	dino_vitb8	scc	6	hidden_state_006	0.966775092936803	0.4314895371251279	1
LIVEC	DINO	dino_vitb16	scc	5	hidden_state_005	0.8947490706319703	0.38966578079353303	2
LIVEC	DINO	dino_vits16	scc	5	hidden_state_005	0.887546468401487	0.3888378097838484	3
LIVEC	DINO	dino_vits8	scc	5	hidden_state_005	0.8803438661710037	0.3839166405278458	4
LIVEC	DINOv2	dinov2_large	scc	10	hidden_state_010	0.9983736059479554	0.4677645569394271	1
LIVEC	DINOv2	dinov2_giant	scc	15	hidden_state_015	0.9944237918215614	0.4560722380124931	2
LIVEC	DINOv2	dinov2_base	scc	4	hidden_state_004	0.9879182156133829	0.44776625272786097	3
LIVEC	DINOv2	dinov2_small	scc	5	hidden_state_005	0.9544609665427509	0.43157524433005784	4
LIVEC	DINOv3	dinov3_vith16plus	scc	11	block_011	0.7618494423791822	0.34085454248728436	1
LIVEC	DINOv3	dinov3_vitl16	scc	9	block_009	0.7434944237918215	0.3397377665968928	2
LIVEC	DINOv3	dinov3_vitb16	scc	3	block_003	0.733271375464684	0.3327055254569377	3
LIVEC	DINOv3	dinov3_vits16plus	scc	0	block_000	0.6538104089219331	0.3174083020768712	4
LIVEC	DINOv3	dinov3_vits16	scc	2	block_002	0.6426579925650557	0.3149739745605571	5
LIVEC	DINOv3	dinov3_vit7b16	scc	9	block_009	0.6263940520446096	0.3049203316341526	6
LIVEC	FastViT	fastvit_ma36	scc	1	feature_map_001	0.841775092936803	0.3721145861664976	1
LIVEC	FastViT	fastvit_sa24	scc	2	feature_map_002	0.8359665427509293	0.36707458568032847	2
LIVEC	FastViT	fastvit_sa12	scc	1	feature_map_001	0.6277881040892194	0.305720583207713	3
LIVEC	FastViT	fastvit_t12	scc	0	feature_map_000	0.5922397769516728	0.3010809718621561	4
LIVEC	FastViT	fastvit_s12	scc	1	feature_map_001	0.578996282527881	0.30068360301839064	5
LIVEC	FastViT	fastvit_sa36	scc	0	feature_map_000	0.5620353159851301	0.2889704223905706	6
LIVEC	FastViT	fastvit_t8	scc	1	feature_map_001	0.5404275092936803	0.28478836151953085	7
LIVEC	FastViTHD	fastvithd_15b	scc	5	block_005	0.7432620817843867	0.3409511885342472	1
LIVEC	FastViTHD	fastvithd_05b	scc	5	block_005	0.703996282527881	0.330362311456803	2
LIVEC	FastViTHD	fastvithd_7b	scc	5	block_005	0.6837825278810409	0.32474241887548116	3
LIVEC	I-JEPA	ijepa_vith14	scc	20	hidden_state_020	0.9114776951672863	0.39930051447298937	1
LIVEC	InternViT	internvit_300m_v25	scc	9	hidden_state_009	0.9753717472118959	0.44076793991605917	1
LIVEC	InternViT	internvit_300m	scc	8	hidden_state_008	0.9282063197026023	0.41742087908306047	2
LIVEC	InternViT	internvit_6b_v25	scc	15	hidden_state_015	0.8134293680297398	0.37561438151843474	3
LIVEC	MAE	vit_mae_large	scc	8	hidden_state_008	0.9983736059479554	0.47031358740476514	1
LIVEC	MAE	vit_mae_huge	scc	8	hidden_state_008	0.9800185873605948	0.44044447961844707	2
LIVEC	MAE	vit_mae_base	scc	3	hidden_state_003	0.920771375464684	0.4084779887725972	3
LIVEC	ResNeXt	resnext101_32x8d	scc	2	feature_map_002	0.7518587360594795	0.33792380328793004	1
LIVEC	ResNeXt	resnext50_32x4d	scc	2	feature_map_002	0.716775092936803	0.3279326065244326	2
LIVEC	ResNet	resnet18	scc	1	hidden_state_001	0.7778810408921933	0.3475212436089831	1
LIVEC	ResNet	resnet34	scc	1	hidden_state_001	0.7184014869888475	0.33084294458365254	2
LIVEC	ResNet	resnet101	scc	2	hidden_state_002	0.6865706319702602	0.3210585208347945	3
LIVEC	ResNet	resnet50	scc	1	hidden_state_001	0.6689126394052045	0.31911943589970826	4
LIVEC	ResNet	resnet152	scc	2	hidden_state_002	0.6526486988847584	0.30876353429178155	5
LIVEC	SigLIP	siglip_so400m	scc	5	hidden_state_005	0.9823420074349443	0.4442826851618398	1
LIVEC	SigLIP	siglip_large	scc	8	hidden_state_008	0.9426115241635687	0.4234589690463274	2
LIVEC	SigLIP	siglip_base	scc	3	hidden_state_003	0.8819702602230484	0.38496990443782714	3
LIVEC	SigLIP2	siglip2_large	scc	0	hidden_state_000	0.11245353159851301	0.08146948009323465	1
LIVEC	SigLIP2	siglip2_so400m	scc	1	pooler_output	0.10106877323420072	0.056278367421228284	2
LIVEC	SigLIP2	siglip2_base	scc	1	pooler_output	0.06412639405204462	0.028881251683493564	3
