model_key	family	joint_score_fr	joint_rank_fr	global_quality_score_fr	global_alignment_score_fr	joint_score_nr	joint_rank_nr	global_quality_score_nr	global_alignment_score_nr	delta_joint_score	delta_joint_rank	delta_quality_score	delta_alignment_score	abs_joint_delta
vgg19_bn	VGG	0.8046536167905824	28	0.9293389869888475	0.6799682465923172	0.7649336375867648	26	0.709464279138633	0.8204029960348967	0.039719979203817646	-2	0.21987470785021457	-0.1404347494425795	0.039719979203817646
convnext_small	ConvNeXt	0.605149279739777	64	0.5542809014869888	0.6560176579925651	0.6444918906374129	54	0.6034691678726468	0.685514613402179	-0.03934261089763591	-10	-0.049188266385657986	-0.029496955409613945	0.03934261089763591
swinv2_small	SwinV2	0.5551376626394051	69	0.46912755576208176	0.6411477695167286	0.5933452972309617	64	0.6549848051493847	0.5317057893125388	-0.03820763459155663	-5	-0.18585724938730297	0.10944198020418983	0.03820763459155663
convnext_large	ConvNeXt	0.5625774473358116	68	0.5221305762081785	0.6030243184634448	0.5277123425589184	69	0.5656904674672292	0.4897342176506076	0.0348651047768932	1	-0.04355989125905069	0.11329010081283725	0.0348651047768932
swinv2_base	SwinV2	0.5403016573729864	72	0.4331435873605948	0.6474597273853779	0.5735910375809883	66	0.5820130890233047	0.565168986138672	-0.03328938020800187	-6	-0.14886950166270996	0.08229074124670599	0.03328938020800187
dino_vits8	DINO	0.7895949504337051	34	0.9086315055762082	0.670558395291202	0.7587580925325996	27	0.7575899280694539	0.7599262569957455	0.030836857901105463	-7	0.1510415775067543	-0.08936786170454347	0.030836857901105463
vit_tiny	ViT	0.8758712825278812	8	0.9396491635687733	0.8120934014869889	0.9031271255205351	14	0.8689541460154974	0.9373001050255727	-0.027255842992653934	6	0.0706950175532759	-0.12520670353858376	0.027255842992653934
convnext_base	ConvNeXt	0.6157498838289963	63	0.5289556226765799	0.7025441449814126	0.6396805580530549	56	0.6110923517805613	0.6682687643255485	-0.02393067422405859	-7	-0.0821367291039814	0.03427538065586411	0.02393067422405859
dinov3_vith16plus	DINOv3	0.7674111291821561	40	0.8025964219330856	0.7322258364312267	0.7897755568851248	24	0.8514422600722272	0.7281088536980223	-0.022364427702968648	-16	-0.04884583813914167	0.004116982733204488	0.022364427702968648
dino_vits16	DINO	0.7493320167286246	44	0.8744191449814127	0.6242448884758365	0.7545045947700934	28	0.7413100260235013	0.7676991635166854	-0.005172578041468756	-16	0.13310911895791144	-0.14345427504084896	0.005172578041468756
dino_vitb16	DINO	0.7160393432465924	50	0.8733736059479554	0.5587050805452293	0.714180409904716	36	0.6861801227876322	0.7421806970217997	0.0018589333418763676	-14	0.18719348316032325	-0.1834756164765704	0.0018589333418763676
swin_small	Swin	0.5993020058859975	65	0.5534677044609666	0.6451363073110284	0.599386296938025	62	0.6694663155573813	0.5293062783186687	-8.429105202756304e-05	-3	-0.11599861109641474	0.11583002899235972	8.429105202756304e-05
