triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
20	dinov3_vits16plus	DINOv3	0.8392351020351628	0.12264532016133452	26.625	8	6	block_006	0.6278984556863622	8	12	0	1.0	True	0.5	6.0	block_006	9504299520.0	256.0	256.0	6.0	block_006	index	16185231360.0	13.0	0.5872204918546188	0.4127795081453812	9.50429952	16.18523136	True
21	dinov3_vitb16	DINOv3	0.8351379290493541	0.07789264806173735	29.875	8	10	block_010	0.5856681132433184	8	12	0	1.0	True	0.8333333333333334	10.0	block_010	43245167616.0	256.0	256.0	10.0	block_010	index	47149092864.0	13.0	0.9172004165751239	0.08279958342487614	43.245167616	47.149092864	True
22	vgg16	VGG	0.8262699099071023	0.1541874376403322	25.5625	8	3	feature_map_003	0.6492905952606651	8	5	0	1.0	True	0.6	3.0	feature_map_003	27918729216.0	224.0	224.0	3.0	feature_map_003	index	30693261312.0	6.0	0.9096045197740112	0.09039548022598876	27.918729216	30.693261312	True
23	dinov3_vits16	DINOv3	0.8223388421846337	0.12072699147845108	29.6875	8	8	block_008	0.645767324075589	8	12	0	1.0	True	0.6666666666666666	8.0	block_008	9405679104.0	256.0	256.0	8.0	block_008	index	12490573824.0	13.0	0.7530221778864529	0.24697782211354713	9.405679104	12.490573824	True
24	vgg19_bn	VGG	0.8207207496747151	0.14094683239416295	27.75	8	5	feature_map_005	0.5640994259575238	8	5	0	1.0	True	1.0	5.0	feature_map_005	39016857600.0	224.0	224.0	5.0	feature_map_005	index	39016857600.0	6.0	1.0	0.0	39.0168576	39.0168576	True
25	ijepa_vith14	I-JEPA	0.80941271455173	0.10707727872035992	31.625	8	29	hidden_state_029	0.558054060067126	8	33	0	1.0	True	0.8787878787878788	29.0	hidden_state_029	302039695360.0	224.0	224.0	29.0	hidden_state_029	index	333245317120.0	34.0	0.9063584087851922	0.09364159121480775	302.03969536	333.24531712	True
26	vgg19	VGG	0.8080215423917946	0.16039491152276333	28.125	8	3	feature_map_003	0.6404776830274399	8	5	0	1.0	True	0.6	3.0	feature_map_003	35317481472.0	224.0	224.0	3.0	feature_map_003	index	39016857600.0	6.0	0.9051851851851852	0.0948148148148148	35.317481472	39.0168576	True
27	vit_mae_large	MAE	0.7997808817278583	0.06872737088619336	36.8125	8	20	hidden_state_020	0.5998856957722044	8	25	0	1.0	True	0.8	20.0	hidden_state_020	25678905344.0	224.0	224.0	20.0	hidden_state_020	index	30753030144.0	26.0	0.8350040702902906	0.16499592970970944	25.678905344	30.753030144	True
28	dino_vits8	DINO	0.7990523451249675	0.11920999957500206	34.625	8	5	hidden_state_005	0.6653723441553888	8	13	0	1.0	True	0.38461538461538464	5.0	hidden_state_005	18738568704.0	224.0	224.0	5.0	hidden_state_005	index	44810717184.0	14.0	0.4181715866554072	0.5818284133445928	18.738568704	44.810717184	True
29	vgg13	VGG	0.7954463188909405	0.15292209529820533	31.5	8	3	feature_map_003	0.634016512919202	8	5	0	1.0	True	0.6	3.0	feature_map_003	20519976960.0	224.0	224.0	3.0	feature_map_003	index	22369665024.0	6.0	0.917312661498708	0.08268733850129195	20.51997696	22.369665024	True
30	resnext101_32x8d	ResNeXt	0.7933279357238641	0.12456192732195535	36.5	8	3	feature_map_003	0.6724541636042699	8	4	0	1.0	True	0.75	3.0	feature_map_003	29394305024.0	224.0	224.0	3.0	feature_map_003	index	32823934976.0	5.0	0.8955143569926136	0.10448564300738639	29.394305024	32.823934976	True
31	vgg16_bn	VGG	0.7913005587629562	0.14287025722264624	34.5	8	5	feature_map_005	0.5643824812295641	8	5	0	1.0	True	1.0	5.0	feature_map_005	30693261312.0	224.0	224.0	5.0	feature_map_005	index	30693261312.0	6.0	1.0	0.0	30.693261312	30.693261312	True
32	vit_mae_huge	MAE	0.7905859003359763	0.11262336294463299	35.625	8	19	hidden_state_019	0.6622714781139273	8	33	1	1.0	True	0.5757575757575758	19.0	hidden_state_019	49358535680.0	224.0	224.0	19.0	hidden_state_019	index	82866503680.0	34.0	0.5956391725009244	0.40436082749907565	49.35853568	82.86650368	True
33	fastvit_ma36	FastViT	0.7901531609561084	0.07138613843427077	38.5	8	2	feature_map_002	0.5983395100684679	8	3	0	1.0	True	0.6666666666666666	2.0	feature_map_002	12101943296.0	256.0	256.0	2.0	feature_map_002	index	15647059968.0	4.0	0.773432409714658	0.226567590285342	12.101943296	15.647059968	True
34	vgg11	VGG	0.773645814666781	0.19135665370667976	33.4375	8	5	feature_map_005	0.624512072552182	8	5	0	1.0	True	1.0	5.0	feature_map_005	14970912768.0	224.0	224.0	5.0	feature_map_005	index	14970912768.0	6.0	1.0	0.0	14.970912768	14.970912768	True
35	vgg13_bn	VGG	0.773532111015019	0.16965505963919655	37.25	8	5	feature_map_005	0.5651525982542391	8	5	0	1.0	True	1.0	5.0	feature_map_005	22369665024.0	224.0	224.0	5.0	feature_map_005	index	22369665024.0	6.0	1.0	0.0	22.369665024	22.369665024	True
36	resnet18	ResNet	0.7702389524309153	0.15695469594875708	37.875	8	3	hidden_state_003	0.5944746680275395	8	5	0	1.0	True	0.6	3.0	hidden_state_003	2805039104.0	224.0	224.0	3.0	hidden_state_003	index	3627122688.0	6.0	0.7733510402833113	0.22664895971668875	2.805039104	3.627122688	True
37	dino_vits16	DINO	0.7601998370761665	0.1459662806738496	39.125	8	6	hidden_state_006	0.5947770932293114	8	13	0	1.0	True	0.46153846153846156	6.0	hidden_state_006	4656301056.0	224.0	224.0	6.0	hidden_state_006	index	9196996608.0	14.0	0.5062849595866677	0.49371504041333225	4.656301056	9.196996608	True
38	dino_vitb8	DINO	0.7577355816302944	0.1181314692717599	39.625	8	3	hidden_state_003	0.6074031492692233	8	13	0	1.0	True	0.23076923076923078	3.0	hidden_state_003	39247193088.0	224.0	224.0	3.0	hidden_state_003	index	156295139328.0	14.0	0.2511094923152798	0.7488905076847202	39.247193088	156.295139328	True
39	internvit_300m_v25	InternViT	0.7562620061100767	0.24965008794786925	34.8125	8	7	hidden_state_007	0.571332633851625	8	25	0	1.0	True	0.28	7.0	hidden_state_007	211921432576.0	448.0	448.0	7.0	hidden_state_007	index	723593035776.0	26.0	0.2928737869190932	0.7071262130809068	211.921432576	723.593035776	True
40	resnet34	ResNet	0.7551571355791198	0.15558675546014725	39.6875	8	3	hidden_state_003	0.6244547472992474	8	5	0	1.0	True	0.6	3.0	hidden_state_003	6041993216.0	224.0	224.0	3.0	hidden_state_003	index	7326498816.0	6.0	0.8246767477536708	0.17532325224632916	6.041993216	7.326498816	True
41	vit_huge	ViT	0.7488162700484183	0.12877591398890773	39.625	8	7	hidden_state_007	0.6191063471905162	8	33	0	1.0	True	0.21212121212121213	7.0	hidden_state_007	73492106240.0	224.0	224.0	7.0	hidden_state_007	index	334587658240.0	34.0	0.2196497821425441	0.780350217857456	73.49210624	334.58765824	True
42	vit_mae_base	MAE	0.7438821321379815	0.11449193555027468	43.5	8	13	canonical_embedding	0.5895034675420576	8	13	0	1.0	True	1.0	13.0	canonical_embedding	8816836608.0	224.0	224.0	13.0	canonical_embedding	index	8816836608.0	14.0	1.0	0.0	8.816836608	8.816836608	True
43	resnext50_32x4d	ResNeXt	0.7426872293079373	0.15591085919416786	42.375	8	2	feature_map_002	0.5937868190982746	8	4	0	1.0	True	0.5	2.0	feature_map_002	3675291648.0	224.0	224.0	2.0	feature_map_002	index	8456863744.0	5.0	0.43459274729447506	0.5654072527055249	3.675291648	8.456863744	True
