model_key	family	global_best_layer_correct	global_best_layer_wrong	global_best_layer_index_correct	global_best_layer_index_wrong	delta_quality_score	abs_quality_delta	delta_rank	abs_rank_delta	layer_changed	changed_datasets	dataset_layer_change_rate
resnet50	ResNet	hidden_state_004	hidden_state_002	4	2	0.0165625833369889	0.0165625833369889	-7	7	True	4	1.0
resnext101_32x8d	ResNeXt	feature_map_003	feature_map_002	3	2	-0.015367792420553084	0.015367792420553084	-3	3	True	4	1.0
dinov3_vitb16	DINOv3	block_010	block_003	10	3	-0.014119627632034448	0.014119627632034448	-14	14	True	4	1.0
resnext50_32x4d	ResNeXt	feature_map_003	feature_map_002	3	2	-0.014060679966883205	0.014060679966883205	-7	7	True	4	1.0
dino_vitb8	DINO	hidden_state_012	hidden_state_004	12	4	0.009460510309833414	0.009460510309833414	-7	7	True	4	1.0
vit_tiny	ViT	block_010	block_003	10	3	0.005047077196734362	0.005047077196734362	10	10	True	4	1.0
convnext_tiny	ConvNeXt	canonical_embedding	hidden_state_002	5	2	0.0019469592363083876	0.0019469592363083876	-6	6	True	4	1.0
internvit_300m	InternViT	hidden_state_008	hidden_state_009	8	9	-0.4422057429700362	0.4422057429700362	-44	44	True	3	0.75
internvit_6b_v25	InternViT	hidden_state_045	hidden_state_024	45	24	-0.3905723396064047	0.3905723396064047	-53	53	True	3	0.75
fastvit_t8	FastViT	feature_map_003	feature_map_001	3	1	0.3024968086758304	0.3024968086758304	31	31	True	3	0.75
convnext_small	ConvNeXt	hidden_state_004	hidden_state_002	4	2	-0.1950463728717482	0.1950463728717482	-18	18	True	3	0.75
swinv2_base	SwinV2	canonical_embedding	hidden_state_002	5	2	-0.16964951702741649	0.16964951702741649	-9	9	True	3	0.75
swinv2_large	SwinV2	hidden_state_003	hidden_state_003	3	3	-0.15908831023997627	0.15908831023997627	-8	8	False	3	0.75
siglip2_so400m	SigLIP2	image_embeds_l2	pooler_output	2	1	0.1494086845634061	0.1494086845634061	9	9	True	3	0.75
resnet152	ResNet	hidden_state_003	hidden_state_002	3	2	-0.12825732189809813	0.12825732189809813	-32	32	True	3	0.75
dinov2_small	DINOv2	hidden_state_012	hidden_state_004	12	4	-0.10103990543870478	0.10103990543870478	-25	25	True	3	0.75
swin_base	Swin	canonical_embedding	hidden_state_002	5	2	-0.09268751432538869	0.09268751432538869	-5	5	True	3	0.75
fastvit_s12	FastViT	feature_map_003	feature_map_000	3	0	0.08419619255746391	0.08419619255746391	5	5	True	3	0.75
dinov3_vitl16	DINOv3	block_015	block_008	15	8	0.05077780892012085	0.05077780892012085	3	3	True	3	0.75
fastvit_sa24	FastViT	feature_map_002	feature_map_002	2	2	-0.05066697348602189	0.05066697348602189	-10	10	False	3	0.75
vit_base	ViT	canonical_embedding	hidden_state_004	13	4	-0.0285630544669917	0.0285630544669917	-14	14	True	3	0.75
fastvit_t12	FastViT	feature_map_003	feature_map_000	3	0	0.01842210567786995	0.01842210567786995	-1	1	True	3	0.75
swin_small	Swin	hidden_state_003	hidden_state_002	3	2	-0.006635191268117069	0.006635191268117069	4	4	True	3	0.75
siglip2_base_naflex	SigLIP2	image_embeds_l2	pooler_output	2	1	0.5309991340211594	0.5309991340211594	52	52	True	2	0.5
siglip2_so400m_naflex	SigLIP2	pooler_output	hidden_state_000	1	0	0.38656750251764205	0.38656750251764205	32	32	True	1	0.25
convnext_large	ConvNeXt	hidden_state_002	hidden_state_002	2	2	-0.1735397025380765	0.1735397025380765	-13	13	False	1	0.25
