reference_model_key	model_key	family	reference_alignment_score	dataset_count
maniqa_kadid10k	vgg11_bn	VGG	0.9505111524163569	4
maniqa_kadid10k	vit_tiny	ViT	0.9488460346964065	4
maniqa_kadid10k	vgg16	VGG	0.9483426270136308	4
maniqa_kadid10k	vgg19	VGG	0.9467936802973977	4
maniqa_kadid10k	fastvithd_05b	FastViTHD	0.9447026022304832	4
maniqa_kadid10k	siglip_large	SigLIP	0.9388553283767038	4
maniqa_kadid10k	clip_vit_b16	CLIP	0.9307620817843866	4
maniqa_kadid10k	siglip_so400m	SigLIP	0.9290969640644362	4
maniqa_kadid10k	vgg13	VGG	0.9270446096654275	4
maniqa_kadid10k	clip_vit_l14	CLIP	0.9255343866171004	4
maniqa_kadid10k	clip_vit_b32	CLIP	0.9135300495662949	4
maniqa_kadid10k	vgg13_bn	VGG	0.9127942998760843	4
maniqa_kadid10k	resnext101_32x8d	ResNeXt	0.9091929987608426	4
maniqa_kadid10k	clip_vit_l14_336	CLIP	0.904701053283767	4
maniqa_kadid10k	vit_small	ViT	0.8953299256505577	4
maniqa_kadid10k	dino_vits8	DINO	0.8891341387856257	4
maniqa_kadid10k	vgg16_bn	VGG	0.8794919454770755	4
maniqa_kadid10k	resnet34	ResNet	0.8793370508054523	4
maniqa_kadid10k	dinov2_small	DINOv2	0.8748451053283767	4
maniqa_kadid10k	resnext50_32x4d	ResNeXt	0.872134448574969	4
maniqa_kadid10k	dinov2_base	DINOv2	0.8625309789343247	4
maniqa_kadid10k	siglip2_base	SigLIP2	0.860478624535316	4
maniqa_kadid10k	vgg19_bn	VGG	0.8564900867410161	4
maniqa_kadid10k	dino_vitb8	DINO	0.8526951672862454	4
maniqa_kadid10k	siglip2_base_naflex	SigLIP2	0.8524241016109046	4
maniqa_kadid10k	dinov2_large	DINOv2	0.8508364312267658	4
maniqa_kadid10k	fastvithd_7b	FastViTHD	0.8448729863692689	4
maniqa_kadid10k	vit_mae_large	MAE	0.8430529739776952	4
maniqa_kadid10k	resnet50	ResNet	0.8367797397769516	4
maniqa_kadid10k	vit_huge	ViT	0.8262856257744733	4
maniqa_kadid10k	resnet101	ResNet	0.8238073110285007	4
maniqa_kadid10k	vit_mae_huge	MAE	0.8198962205700124	4
maniqa_kadid10k	dino_vitb16	DINO	0.8169532218091697	4
maniqa_kadid10k	dino_vits16	DINO	0.8080467781908303	4
maniqa_kadid10k	dinov2_giant	DINOv2	0.8065752788104089	4
maniqa_kadid10k	vit_base	ViT	0.8049488847583643	4
maniqa_kadid10k	siglip2_so400m_naflex	SigLIP2	0.7989079925650557	4
maniqa_kadid10k	resnet152	ResNet	0.7970105328376704	4
maniqa_kadid10k	ijepa_vith14	I-JEPA	0.7908921933085502	4
maniqa_kadid10k	vit_mae_base	MAE	0.7857419454770755	4
maniqa_kadid10k	dinov3_vit7b16	DINOv3	0.7831087360594795	4
maniqa_kadid10k	dinov3_vitl16	DINOv3	0.7805529739776952	4
maniqa_kadid10k	vit_large	ViT	0.7750154894671623	4
maniqa_kadid10k	dinov3_vith16plus	DINOv3	0.7724597273853779	4
maniqa_kadid10k	dinov3_vitb16	DINOv3	0.7452757125154894	4
maniqa_kadid10k	fastvit_ma36	FastViT	0.7372986369268897	4
maniqa_kadid10k	convnext_tiny	ConvNeXt	0.7225836431226766	4
