quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible
47	swinv2_small	SwinV2	0.6549848051493847	0.14740455440379227	45.0	4	1	hidden_state_001	0.45577440140180464	4	0	1.0	True
48	fastvit_sa12	FastViT	0.6389761016991464	0.12867098086188947	49.0	4	2	feature_map_002	0.5663473528111047	4	0	1.0	True
49	vgg16	VGG	0.6294741373715772	0.06878063723829626	50.0	4	1	feature_map_001	0.5352857339623498	4	0	1.0	True
50	fastvit_t12	FastViT	0.6254250432471592	0.04648406589873903	51.75	4	0	feature_map_000	0.45798980409131995	4	0	1.0	True
51	vgg19	VGG	0.6184331993601462	0.10094048578413593	52.0	4	1	feature_map_001	0.49617021717002985	4	0	1.0	True
52	resnet152	ResNet	0.6175821734031925	0.05838776835303087	52.75	4	2	hidden_state_002	0.42839334390145817	4	0	1.0	True
53	vgg13	VGG	0.6120250506109153	0.04635797794473883	51.75	4	1	feature_map_001	0.4976014658161657	4	0	1.0	True
54	swin_tiny	Swin	0.6114966883604406	0.1411390359869883	52.5	4	3	hidden_state_003	0.45285837226721537	4	0	1.0	True
55	convnext_base	ConvNeXt	0.6110923517805613	0.1341827460774468	52.25	4	1	hidden_state_001	0.4042536226431759	4	0	1.0	True
56	vgg13_bn	VGG	0.6078353406743641	0.1284379787996204	52.75	4	0	feature_map_000	0.42744057044918454	4	0	1.0	True
57	convnext_small	ConvNeXt	0.6034691678726468	0.09132219765029911	54.75	4	1	hidden_state_001	0.45152613808990183	4	0	1.0	True
58	fastvit_s12	FastViT	0.597955520726406	0.09530531359379985	52.75	4	1	feature_map_001	0.5364019869515361	4	0	1.0	True
59	convnext_tiny	ConvNeXt	0.5970779466338378	0.19893077945377724	50.5	4	2	hidden_state_002	0.4093866277559702	4	0	1.0	True
60	swinv2_tiny	SwinV2	0.5936245070017655	0.17595546223941655	53.0	4	1	hidden_state_001	0.468083065458618	4	0	1.0	True
61	fastvit_sa36	FastViT	0.5868364824437462	0.11474355534699937	54.75	4	0	feature_map_000	0.49743293416353584	4	0	1.0	True
62	vgg11	VGG	0.5845621484349824	0.08922324948462523	57.25	4	1	feature_map_001	0.5104187982402068	4	0	1.0	True
63	swinv2_base	SwinV2	0.5820130890233047	0.18980255706136073	53.75	4	1	hidden_state_001	0.4445651426648799	4	0	1.0	True
64	resnet101	ResNet	0.5807023539884666	0.11546408189031251	52.0	4	1	hidden_state_001	0.46214739939861366	4	0	1.0	True
65	resnet50	ResNet	0.574091197496566	0.09861295079910637	52.75	4	1	hidden_state_001	0.5063149710070883	4	0	1.0	True
