joint_rank	quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	global_alignment_score	global_best_layer_alignment	joint_score
47	66	resnext50_32x4d	ResNeXt	0.568533420295753	0.08396278046119952	54.75	4	1	feature_map_001	0.49701845953857254	4	0	1.0	True	0.740972788449869	feature_map_002	0.654753104372811
48	49	vgg16	VGG	0.6294741373715772	0.06878063723829626	50.0	4	1	feature_map_001	0.5352857339623498	4	0	1.0	True	0.6770232973927457	feature_map_001	0.6532487173821615
49	48	fastvit_sa12	FastViT	0.6389761016991464	0.12867098086188947	49.0	4	2	feature_map_002	0.5663473528111047	4	0	1.0	True	0.6668962046010287	feature_map_001	0.6529361531500876
50	53	vgg13	VGG	0.6120250506109153	0.04635797794473883	51.75	4	1	feature_map_001	0.4976014658161657	4	0	1.0	True	0.6900214936388671	feature_map_001	0.6510232721248912
51	65	resnet50	ResNet	0.574091197496566	0.09861295079910637	52.75	4	1	hidden_state_001	0.5063149710070883	4	0	1.0	True	0.7274275338553031	hidden_state_002	0.6507593656759345
52	68	vgg11_bn	VGG	0.5606506582738743	0.1036745545234888	59.75	4	0	feature_map_000	0.4813149397791304	4	0	1.0	True	0.7362762419119391	feature_map_002	0.6484634500929067
53	56	vgg13_bn	VGG	0.6078353406743641	0.1284379787996204	52.75	4	0	feature_map_000	0.42744057044918454	4	0	1.0	True	0.6845448477551418	feature_map_001	0.6461900942147529
54	57	convnext_small	ConvNeXt	0.6034691678726468	0.09132219765029911	54.75	4	1	hidden_state_001	0.45152613808990183	4	0	1.0	True	0.685514613402179	hidden_state_001	0.6444918906374129
55	64	resnet101	ResNet	0.5807023539884666	0.11546408189031251	52.0	4	1	hidden_state_001	0.46214739939861366	4	0	1.0	True	0.7079033738696374	hidden_state_002	0.644302863929052
56	55	convnext_base	ConvNeXt	0.6110923517805613	0.1341827460774468	52.25	4	1	hidden_state_001	0.4042536226431759	4	0	1.0	True	0.6682687643255485	hidden_state_001	0.6396805580530549
57	51	vgg19	VGG	0.6184331993601462	0.10094048578413593	52.0	4	1	feature_map_001	0.49617021717002985	4	0	1.0	True	0.6573662007586862	feature_map_001	0.6378997000594162
58	50	fastvit_t12	FastViT	0.6254250432471592	0.04648406589873903	51.75	4	0	feature_map_000	0.45798980409131995	4	0	1.0	True	0.6251195334014559	feature_map_000	0.6252722883243076
59	43	swin_large	Swin	0.6716191670278722	0.08549154164367236	45.75	4	3	hidden_state_003	0.47377366336518517	4	0	1.0	True	0.5772779704113374	hidden_state_001	0.6244485687196049
60	58	fastvit_s12	FastViT	0.597955520726406	0.09530531359379985	52.75	4	1	feature_map_001	0.5364019869515361	4	0	1.0	True	0.6379260878839982	feature_map_001	0.6179408043052022
61	60	swinv2_tiny	SwinV2	0.5936245070017655	0.17595546223941655	53.0	4	1	hidden_state_001	0.468083065458618	4	0	1.0	True	0.6118789375501802	hidden_state_002	0.6027517222759728
62	44	swin_small	Swin	0.6694663155573813	0.10052903474663415	44.75	4	3	hidden_state_003	0.47241303720858896	4	0	1.0	True	0.5293062783186687	hidden_state_002	0.599386296938025
63	54	swin_tiny	Swin	0.6114966883604406	0.1411390359869883	52.5	4	3	hidden_state_003	0.45285837226721537	4	0	1.0	True	0.5866600737078008	hidden_state_002	0.5990783810341207
64	47	swinv2_small	SwinV2	0.6549848051493847	0.14740455440379227	45.0	4	1	hidden_state_001	0.45577440140180464	4	0	1.0	True	0.5317057893125388	hidden_state_002	0.5933452972309617
65	62	vgg11	VGG	0.5845621484349824	0.08922324948462523	57.25	4	1	feature_map_001	0.5104187982402068	4	0	1.0	True	0.5798554801294498	feature_map_002	0.5822088142822162
66	63	swinv2_base	SwinV2	0.5820130890233047	0.18980255706136073	53.75	4	1	hidden_state_001	0.4445651426648799	4	0	1.0	True	0.565168986138672	hidden_state_002	0.5735910375809883
67	61	fastvit_sa36	FastViT	0.5868364824437462	0.11474355534699937	54.75	4	0	feature_map_000	0.49743293416353584	4	0	1.0	True	0.5561192569131765	feature_map_000	0.5714778696784614
68	59	convnext_tiny	ConvNeXt	0.5970779466338378	0.19893077945377724	50.5	4	2	hidden_state_002	0.4093866277559702	4	0	1.0	True	0.5450453735379052	hidden_state_001	0.5710616600858716
69	67	convnext_large	ConvNeXt	0.5656904674672292	0.15784684208687505	56.0	4	2	hidden_state_002	0.39278984983212106	4	0	1.0	True	0.4897342176506076	hidden_state_002	0.5277123425589184
70	69	fastvit_t8	FastViT	0.4766141356070668	0.10224461121470202	67.75	4	1	feature_map_001	0.42347681590274827	4	0	1.0	True	0.5342450869866572	feature_map_001	0.5054296112968619
71	70	siglip2_large	SigLIP2	0.39548966951090253	0.17421623779791848	64.25	4	1	pooler_output	0.3432647158934898	4	0	1.0	True	0.17522166954437743	pooler_output	0.28535566952763997
72	71	siglip2_so400m	SigLIP2	0.31048945165991493	0.18436807416053583	66.75	4	1	pooler_output	0.31048945165991493	4	0	1.0	True	0.17385345673538943	pooler_output	0.24217145419765218
73	72	siglip2_base	SigLIP2	0.3008099615866385	0.21743298379467463	71.0	4	1	pooler_output	0.22712627667243557	4	0	1.0	True	0.08366982771188629	pooler_output	0.1922398946492624
74	73	siglip2_base_naflex	SigLIP2	0.2944286140575924	0.1600241118757472	69.5	4	1	pooler_output	0.2944286140575924	4	0	1.0	True	0.08720668853375868	pooler_output	0.19081765129567554
75	75	siglip2_so400m_naflex	SigLIP2	0.2098312541102875	0.13051699750771875	73.0	3	1	pooler_output	0.18711011514960074	3	0	0.75	False	0.1141833569225162	pooler_output	0.16200730551640186
