triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction
41	vit_huge	ViT	0.7488162700484183	0.12877591398890773	39.625	8	7	hidden_state_007	0.6191063471905162	8	33	0	1.0	True	0.21212121212121213
42	vit_mae_base	MAE	0.7438821321379815	0.11449193555027468	43.5	8	13	canonical_embedding	0.5895034675420576	8	13	0	1.0	True	1.0
43	resnext50_32x4d	ResNeXt	0.7426872293079373	0.15591085919416786	42.375	8	2	feature_map_002	0.5937868190982746	8	4	0	1.0	True	0.5
44	resnet50	ResNet	0.7411934452157789	0.14094988966564376	42.0	8	2	hidden_state_002	0.5745742565193339	8	5	0	1.0	True	0.4
45	fastvit_sa24	FastViT	0.729434112372429	0.1183240658613074	43.625	8	2	feature_map_002	0.6379345681609432	8	3	0	1.0	True	0.6666666666666666
46	dino_vitb16	DINO	0.7202489782632596	0.18367319961169712	43.125	8	5	hidden_state_005	0.5849342201514793	8	13	0	1.0	True	0.38461538461538464
47	vgg11_bn	VGG	0.7060259310335275	0.22356404930100865	44.8125	8	5	feature_map_005	0.5588797709543684	8	5	0	1.0	True	1.0
48	vit_large	ViT	0.7045385584963221	0.14410279231966192	45.125	8	20	hidden_state_020	0.4882952600591616	8	25	0	1.0	True	0.8
49	fastvit_sa12	FastViT	0.7028927637405304	0.10185763700764894	48.0	8	2	feature_map_002	0.5545022750469423	8	3	0	1.0	True	0.6666666666666666
50	vit_base	ViT	0.7005348805903349	0.12794787209945338	47.875	8	10	hidden_state_010	0.5762629843456339	8	13	0	1.0	True	0.7692307692307693
51	siglip2_large	SigLIP2	0.6844418235522763	0.30136726811868203	40.5	8	1	pooler_output	0.6805106476179099	8	2	0	1.0	True	0.5
52	internvit_300m	InternViT	0.6781512495011431	0.2923848723535479	39.4375	8	3	hidden_state_003	0.549385962406321	8	25	0	1.0	True	0.12
53	siglip2_base_naflex	SigLIP2	0.677253253066076	0.3339857737592161	35.1875	8	1	pooler_output	0.6751452311882272	8	2	0	1.0	True	0.5
54	fastvit_s12	FastViT	0.668298231557879	0.1909686831879958	50.5	8	3	feature_map_003	0.4964851152370144	8	3	0	1.0	True	1.0
55	resnet101	ResNet	0.6609584890502544	0.1284582699838099	52.25	8	2	hidden_state_002	0.5641888089852234	8	5	0	1.0	True	0.4
56	convnext_tiny	ConvNeXt	0.6602760777688611	0.1731594524526705	51.625	8	2	hidden_state_002	0.5807836716470111	8	5	0	1.0	True	0.4
57	fastvit_t12	FastViT	0.6466347506494878	0.13793429905434257	54.3125	8	3	feature_map_003	0.45392840570977916	8	3	0	1.0	True	1.0
58	fastvit_t8	FastViT	0.6458661215384096	0.2661434981677251	48.5625	8	3	feature_map_003	0.5141326361890021	8	3	0	1.0	True	1.0
59	swin_tiny	Swin	0.63781567033808	0.11752256097679212	55.125	8	3	hidden_state_003	0.5289160857851986	8	5	0	1.0	True	0.6
60	siglip2_base	SigLIP2	0.6335788228450033	0.28752129554497924	46.25	8	1	pooler_output	0.6113306459990598	8	2	0	1.0	True	0.5
61	resnet152	ResNet	0.6218785736979295	0.1146552792176435	57.25	8	2	hidden_state_002	0.5315754743360335	8	5	0	1.0	True	0.4
62	siglip2_so400m	SigLIP2	0.6201319795592053	0.27735575246318983	50.25	8	1	pooler_output	0.6149473852109829	8	2	0	1.0	True	0.5
63	convnext_small	ConvNeXt	0.6012511135004298	0.1092693793519909	58.125	8	2	hidden_state_002	0.476934796271624	8	5	0	1.0	True	0.4
64	swin_small	Swin	0.5935746426193859	0.08646387022239213	59.0	8	2	hidden_state_002	0.3922870400669702	8	5	0	1.0	True	0.4
65	swinv2_tiny	SwinV2	0.5804005203693748	0.10969083505452576	61.125	8	3	hidden_state_003	0.42158587133518766	8	5	0	1.0	True	0.6
66	swinv2_small	SwinV2	0.5787003491348676	0.09871956777257837	58.9375	8	3	hidden_state_003	0.3990314818710443	8	5	0	1.0	True	0.6
67	swin_base	Swin	0.5762258676646401	0.12269791613106672	58.4375	8	3	hidden_state_003	0.34933992906493666	8	5	0	1.0	True	0.6
68	convnext_base	ConvNeXt	0.5758956590580717	0.1442801698217029	59.625	8	2	hidden_state_002	0.41689905171749597	8	5	0	1.0	True	0.4
69	fastvit_sa36	FastViT	0.5744122092021666	0.13531040741068973	59.75	8	3	feature_map_003	0.4014736350367617	8	3	0	1.0	True	1.0
70	swin_large	Swin	0.549176058377289	0.09199429508107239	61.125	8	3	hidden_state_003	0.36304469540947815	8	5	0	1.0	True	0.6
71	convnext_large	ConvNeXt	0.5481067084018314	0.12112502522236546	63.625	8	2	hidden_state_002	0.4783021888669868	8	5	0	1.0	True	0.4
72	swinv2_large	SwinV2	0.5448761233477125	0.17831275188175708	58.1875	8	3	hidden_state_003	0.38438186333962693	8	5	0	1.0	True	0.6
73	swinv2_base	SwinV2	0.5338497637950691	0.09952874932239837	63.625	8	2	hidden_state_002	0.38235705641129525	8	5	0	1.0	True	0.4
74	dinov3_vit7b16	DINOv3	0.8790207058210705	0.052474166988255855	24.285714285714285	7	25	block_025	0.7146763901549681	7	40	0	0.875	False	0.625
75	siglip2_so400m_naflex	SigLIP2	0.6628792811564006	0.34178422741927705	39.42857142857143	7	1	pooler_output	0.657637713243912	7	2	1	0.875	False	0.5
