reference_model_key	model_key	family	reference_alignment_score	dataset_count
maniqa_kadid10k	siglip_so400m	SigLIP	0.9300638322226332	8
maniqa_kadid10k	clip_vit_l14_336	CLIP	0.9254992661770194	8
maniqa_kadid10k	siglip_base	SigLIP	0.9239468727558668	8
maniqa_kadid10k	vit_small	ViT	0.9229968954426654	8
maniqa_kadid10k	clip_vit_b32	CLIP	0.9212553758062456	8
maniqa_kadid10k	dinov2_large	DINOv2	0.9203917086664344	8
maniqa_kadid10k	dinov2_base	DINOv2	0.9119186229257227	8
maniqa_kadid10k	vit_mae_large	MAE	0.9031144443341499	8
maniqa_kadid10k	dinov2_small	DINOv2	0.8973784337831723	8
maniqa_kadid10k	dinov2_giant	DINOv2	0.8884938677373176	8
maniqa_kadid10k	dino_vitb8	DINO	0.8800092737784008	8
maniqa_kadid10k	vit_mae_huge	MAE	0.8799801299563836	8
maniqa_kadid10k	resnet18	ResNet	0.8691655250300603	8
maniqa_kadid10k	resnext101_32x8d	ResNeXt	0.8676089025699476	8
maniqa_kadid10k	vgg11_bn	VGG	0.8651773547624397	8
maniqa_kadid10k	vit_huge	ViT	0.8643277146438076	8
maniqa_kadid10k	vgg19_bn	VGG	0.8460151587265017	8
maniqa_kadid10k	dino_vits8	DINO	0.843853135159394	8
maniqa_kadid10k	ijepa_vith14	I-JEPA	0.8394232608646255	8
maniqa_kadid10k	fastvithd_15b	FastViTHD	0.8337105638514333	8
maniqa_kadid10k	vgg16_bn	VGG	0.832675361337429	8
maniqa_kadid10k	vit_mae_base	MAE	0.8319858752777637	8
maniqa_kadid10k	vit_base	ViT	0.8263263282931101	8
maniqa_kadid10k	fastvithd_05b	FastViTHD	0.823468192238211	8
maniqa_kadid10k	resnext50_32x4d	ResNeXt	0.8164130072018906	8
maniqa_kadid10k	vgg13	VGG	0.8156600787447793	8
maniqa_kadid10k	vgg13_bn	VGG	0.8150424715378893	8
maniqa_kadid10k	vgg16	VGG	0.8149458236749273	8
maniqa_kadid10k	resnet34	ResNet	0.8135228251901302	8
maniqa_kadid10k	vgg19	VGG	0.811633100222416	8
maniqa_kadid10k	dino_vits16	DINO	0.8080000500663933	8
maniqa_kadid10k	dino_vitb16	DINO	0.8076233563771872	8
maniqa_kadid10k	vit_large	ViT	0.7956025402418678	8
maniqa_kadid10k	resnet50	ResNet	0.7929539948783434	8
maniqa_kadid10k	vgg11	VGG	0.7900216988412037	8
maniqa_kadid10k	resnet101	ResNet	0.7847535780401429	8
maniqa_kadid10k	dinov3_vith16plus	DINOv3	0.7801525259120325	8
maniqa_kadid10k	resnet152	ResNet	0.776769435015983	8
maniqa_kadid10k	fastvit_sa24	FastViT	0.773164928031778	8
maniqa_kadid10k	fastvithd_7b	FastViTHD	0.7689706995962532	8
maniqa_kadid10k	fastvit_ma36	FastViT	0.7633867293886282	8
maniqa_kadid10k	dinov3_vitb16	DINOv3	0.7240834303841098	8
maniqa_kadid10k	dinov3_vitl16	DINOv3	0.7185460304876491	8
maniqa_kadid10k	internvit_6b_v25	InternViT	0.7011551192096293	8
maniqa_kadid10k	dinov3_vit7b16	DINOv3	0.6885591497848139	7
maniqa_kadid10k	dinov3_vits16plus	DINOv3	0.6821440559756932	8
maniqa_kadid10k	fastvit_sa12	FastViT	0.6728824658257481	8
maniqa_kadid10k	internvit_300m_v25	InternViT	0.6726790760729017	8
maniqa_kadid10k	dinov3_vits16	DINOv3	0.6540707098695014	8
maniqa_kadid10k	swin_tiny	Swin	0.6443655453807554	8
maniqa_kadid10k	convnext_tiny	ConvNeXt	0.6311579486870784	8
maniqa_kadid10k	internvit_300m	InternViT	0.6285075124588986	8
maniqa_kadid10k	fastvit_s12	FastViT	0.6208966628085274	8
maniqa_kadid10k	fastvit_t12	FastViT	0.6200377757901593	8
maniqa_kadid10k	swin_base	Swin	0.6112065246618236	8
maniqa_kadid10k	swinv2_large	SwinV2	0.605541673182002	8
maniqa_kadid10k	convnext_small	ConvNeXt	0.6038180153845768	8
maniqa_kadid10k	fastvit_sa36	FastViT	0.5988950718084776	8
maniqa_kadid10k	swinv2_tiny	SwinV2	0.5954751856280319	8
maniqa_kadid10k	convnext_base	ConvNeXt	0.5937283337554758	8
maniqa_kadid10k	fastvit_t8	FastViT	0.5936325713004789	8
maniqa_kadid10k	swin_large	Swin	0.580450436372652	8
maniqa_kadid10k	swin_small	Swin	0.5678524310641859	8
maniqa_kadid10k	siglip2_so400m_naflex	SigLIP2	0.5036713990072655	7
maniqa_kadid10k	swinv2_base	SwinV2	0.49161864434865915	8
maniqa_kadid10k	convnext_large	ConvNeXt	0.47390992321317216	8
maniqa_kadid10k	siglip2_base	SigLIP2	0.4697997303037165	8
maniqa_kadid10k	siglip2_base_naflex	SigLIP2	0.4653749952590021	8
maniqa_kadid10k	swinv2_small	SwinV2	0.4620367616117009	8
maniqa_kadid10k	siglip2_large	SigLIP2	0.3877866912175655	8
maniqa_kadid10k	siglip2_so400m	SigLIP2	0.31445238785762675	8
