model_key	family	layer_index	layer_name	mean_quality	min_quality	max_quality	dataset_count	mean_alignment	min_alignment	max_alignment	joint_score
clip_vit_b16	CLIP	0	hidden_state_000	0.04960628038428982	0.0024108003857280513	0.09506669016584632	3	0.04910692634080399	0.036885245901639385	0.06464459880069856	0.04935660336254691
clip_vit_b16	CLIP	1	hidden_state_001	0.505023119453979	0.11361524163568772	0.778114777380744	8	0.40104267894505896	0.11074969021065674	0.5963153089140382	0.453032899199519
clip_vit_b16	CLIP	2	hidden_state_002	0.49972621014534113	0.12662639405204462	0.8346125452444815	8	0.574732240222435	0.2350526641883519	0.8212142393856029	0.537229225183888
clip_vit_b16	CLIP	3	hidden_state_003	0.5078879991967167	0.17657992565055763	0.8944919752117393	8	0.7451666524351224	0.44222428748451054	0.9165537410388543	0.6265273258159195
clip_vit_b16	CLIP	4	hidden_state_004	0.4705608797620741	0.1314287724790356	0.9183141176031766	8	0.7819377257471819	0.5357806691449815	0.9698528835538062	0.626249302754628
clip_vit_b16	CLIP	5	hidden_state_005	0.4203682331632337	0.052319536980781026	0.9045759028896809	8	0.7331844757196148	0.4919454770755886	0.9807036243827277	0.5767763544414242
clip_vit_b16	CLIP	6	hidden_state_006	0.44613205457314126	0.06939742540169636	0.9296825169022037	8	0.6943658351766337	0.4162794299876084	0.978172747249724	0.5702489448748875
clip_vit_b16	CLIP	7	hidden_state_007	0.392134349562156	0.06859999673905955	0.9076369592728748	8	0.5930252022146636	0.3597428748451053	0.965790845481317	0.4925797758884098
clip_vit_b16	CLIP	8	hidden_state_008	0.5141468980541356	0.023662842784911778	0.9602737874584908	8	0.7298659137336982	0.4228624535315985	0.9573541715681851	0.622006405893917
clip_vit_b16	CLIP	9	hidden_state_009	0.6204203851270855	0.14689753696018565	0.9212410196783226	8	0.713174969004972	0.4203066914498141	0.8580936419152511	0.6667976770660288
clip_vit_b16	CLIP	10	hidden_state_010	0.6612526999621674	0.07654746642089473	0.893935873605948	8	0.5982489424055651	0.4847399294576135	0.6973358116480793	0.6297508211838663
clip_vit_b16	CLIP	11	hidden_state_011	0.6181388519232396	0.22308357606374382	0.9393587360594795	8	0.3923319015376841	0.10815007165006289	0.648776332094176	0.5052353767304618
