dataset	family	model_key	corr_metric	layer_index	layer_name	metric_score	raw_value_mean	family_rank
SPAQ	ResNet	resnet18	scc	1	hidden_state_001	0.7703488372093024	0.2818062012210152	1
SPAQ	ResNet	resnet34	scc	1	hidden_state_001	0.749515503875969	0.27646439025818004	2
SPAQ	ResNet	resnet101	scc	1	hidden_state_001	0.7078488372093023	0.26542563530145863	3
SPAQ	ResNet	resnet50	scc	1	hidden_state_001	0.6753875968992248	0.2557964383059611	4
SPAQ	ResNet	resnet152	scc	2	hidden_state_002	0.6438953488372093	0.24440130222887035	5
SPAQ	SigLIP	siglip_so400m	scc	13	hidden_state_013	1.0	0.4690480660421731	1
SPAQ	SigLIP	siglip_large	scc	7	hidden_state_007	0.9481589147286822	0.3580072365524022	2
SPAQ	SigLIP	siglip_base	scc	1	hidden_state_001	0.9219961240310077	0.33812418581990844	3
SPAQ	SigLIP2	siglip2_large	scc	1	pooler_output	0.4064922480620155	0.1824810020260328	1
SPAQ	SigLIP2	siglip2_so400m	scc	1	pooler_output	0.3338178294573643	0.16381806394825943	2
SPAQ	SigLIP2	siglip2_base	scc	1	pooler_output	0.25339147286821706	0.1374793125530182	3
SPAQ	SigLIP2	siglip2_base_naflex	scc	1	pooler_output	0.21511627906976744	0.12791055720659344	4
SPAQ	Swin	swin_tiny	scc	2	hidden_state_002	0.6143410852713178	0.23681503871670456	1
SPAQ	Swin	swin_large	scc	1	hidden_state_001	0.5818798449612403	0.22687643534457885	2
SPAQ	Swin	swin_small	scc	2	hidden_state_002	0.5523255813953489	0.21864144723492013	3
SPAQ	Swin	swin_base	scc	2	hidden_state_002	0.5339147286821706	0.21346649646125598	4
SPAQ	SwinV2	swinv2_tiny	scc	2	hidden_state_002	0.624515503875969	0.23955922083633524	1
SPAQ	SwinV2	swinv2_small	scc	2	hidden_state_002	0.5925387596899225	0.22964527614914387	2
SPAQ	SwinV2	swinv2_base	scc	2	hidden_state_002	0.5465116279069768	0.21746173227656457	3
SPAQ	SwinV2	swinv2_large	scc	2	hidden_state_002	0.5416666666666667	0.21537054134975814	4
SPAQ	VGG	vgg16	scc	1	feature_map_001	0.748062015503876	0.2755634574321927	1
SPAQ	VGG	vgg19	scc	1	feature_map_001	0.7291666666666666	0.2697203531349407	2
SPAQ	VGG	vgg13	scc	1	feature_map_001	0.685077519379845	0.25576543329691465	3
SPAQ	VGG	vgg19_bn	scc	1	feature_map_001	0.6593992248062016	0.24945664211413004	4
SPAQ	VGG	vgg16_bn	scc	1	feature_map_001	0.6400193798449613	0.24391338210608315	5
SPAQ	VGG	vgg13_bn	scc	1	feature_map_001	0.6395348837209303	0.24347280011555872	6
SPAQ	VGG	vgg11	scc	2	feature_map_002	0.5862403100775194	0.22802286146868356	7
SPAQ	VGG	vgg11_bn	scc	2	feature_map_002	0.5198643410852714	0.2088777014160435	8
SPAQ	ViT	vit_small	scc	4	block_004	0.8856589147286822	0.31663471707712265	1
SPAQ	ViT	vit_tiny	scc	3	block_003	0.8372093023255813	0.3012964618085163	2
