joint_rank	quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	global_alignment_score	global_best_layer_alignment	joint_score
1	1	dinov2_base	DINOv2	0.9154767644719832	0.04514677207851301	17.5	8	3	hidden_state_003	0.7554465948480465	8	0	1.0	True	0.8907627129796069	hidden_state_004	0.903119738725795
2	2	clip_vit_l14	CLIP	0.9067682023262152	0.1034494059687417	19.5	8	20	hidden_state_020	0.8082714998957643	8	0	1.0	True	0.8772705409457978	hidden_state_006	0.8920193716360065
3	15	dinov2_large	DINOv2	0.8647529260138074	0.12415976585179332	25.375	8	20	hidden_state_020	0.6989427100490488	8	0	1.0	True	0.914817307070943	hidden_state_010	0.8897851165423751
4	3	vit_tiny	ViT	0.9043016547921353	0.057438339443530544	17.375	8	3	block_003	0.6674072962239005	8	0	1.0	True	0.8746967532562808	block_003	0.889499204024208
5	7	dinov2_small	DINOv2	0.8870023924707692	0.09150601690854825	22.0	8	4	hidden_state_004	0.7530717932928175	8	0	1.0	True	0.8917856451615535	hidden_state_004	0.8893940188161613
6	6	siglip_so400m	SigLIP	0.8926659556929271	0.12312749626866257	20.375	8	12	hidden_state_012	0.7022399486127988	8	1	1.0	True	0.8849661549787049	hidden_state_011	0.888816055335816
7	10	siglip_large	SigLIP	0.882045841223916	0.0680619172926438	23.9375	8	12	hidden_state_012	0.7784598502803386	8	0	1.0	True	0.8891624578851005	hidden_state_008	0.8856041495545083
8	4	clip_vit_l14_336	CLIP	0.9022962637398646	0.150262436656985	18.25	8	20	hidden_state_020	0.8175868058682388	8	0	1.0	True	0.8549937692892023	hidden_state_006	0.8786450165145334
9	9	dinov2_giant	DINOv2	0.8828245303712033	0.06415927543059162	23.75	8	30	hidden_state_030	0.70110364944183	8	0	1.0	True	0.8722904108685242	hidden_state_013	0.8775574706198638
10	11	siglip_base	SigLIP	0.8808037971390904	0.08037634205610579	18.375	8	5	hidden_state_005	0.7138824061016524	8	0	1.0	True	0.8655469799646915	hidden_state_003	0.8731753885518909
11	14	vit_small	ViT	0.8701910530779439	0.046253513619063345	25.25	8	3	block_003	0.6839927565630475	8	0	1.0	True	0.8712438070864907	block_003	0.8707174300822174
12	8	clip_vit_b32	CLIP	0.8859866115307615	0.08112744742895318	23.625	8	10	hidden_state_010	0.704819169473546	8	0	1.0	True	0.8343272786998992	hidden_state_008	0.8601569451153304
13	5	clip_vit_b16	CLIP	0.894289678405322	0.074824504928108	21.375	8	10	hidden_state_010	0.6612526999621674	8	0	1.0	True	0.8225456733398501	hidden_state_004	0.8584176758725861
14	21	vit_mae_large	MAE	0.8123802125134766	0.09403324725043882	30.0	8	13	hidden_state_013	0.643983180728412	8	0	1.0	True	0.8868935296842506	hidden_state_007	0.8496368710988635
15	37	vit_mae_huge	MAE	0.7747648756270185	0.12532445321249355	33.125	8	18	hidden_state_018	0.6471312483105267	8	1	1.0	True	0.8763640609251196	hidden_state_007	0.825564468276069
16	12	fastvithd_15b	FastViTHD	0.8762886796331354	0.1793931867460967	15.875	8	42	block_042	0.7218998693685404	8	2	1.0	True	0.7529829741637166	block_025	0.814635826898426
17	33	resnext101_32x8d	ResNeXt	0.7813215593698837	0.1346660059549035	35.0	8	3	feature_map_003	0.6518419357669027	8	0	1.0	True	0.840577037777241	feature_map_002	0.8109492985735623
18	13	fastvithd_05b	FastViTHD	0.8726161811726167	0.18532386574645623	16.875	8	41	block_041	0.6991192354713691	8	2	1.0	True	0.7431080345229639	block_018	0.8078621078477903
19	24	resnet18	ResNet	0.7997345276127078	0.14404738378481582	31.125	8	2	hidden_state_002	0.6184103842717574	8	0	1.0	True	0.7950516622473068	hidden_state_002	0.7973930949300073
20	16	fastvithd_7b	FastViTHD	0.8473033191981119	0.1813138835184448	23.75	8	42	block_042	0.6598875494458805	8	0	1.0	True	0.7393369077185759	block_025	0.7933201134583439
21	26	fastvit_ma36	FastViT	0.7974988598737003	0.08876143409005897	33.5	8	2	feature_map_002	0.6231370896578433	8	0	1.0	True	0.7782209567584512	feature_map_001	0.7878599083160758
22	20	vgg19_bn	VGG	0.8194016330637403	0.1259274416202928	26.875	8	5	feature_map_005	0.5669813975658988	8	0	1.0	True	0.750185621313607	feature_map_002	0.7847936271886736
23	27	resnet34	ResNet	0.7927061075930183	0.14817209924282257	32.75	8	3	hidden_state_003	0.5945663880233382	8	0	1.0	True	0.7735590510846927	hidden_state_002	0.7831325793388555
24	18	dinov3_vith16plus	DINOv3	0.8270193410026564	0.09666218101136734	29.375	8	18	block_018	0.6635922875717704	8	0	1.0	True	0.7301673450646244	block_009	0.7785933430336405
25	38	internvit_6b_v25	InternViT	0.7682698154322416	0.2801478653905371	30.75	8	45	hidden_state_045	0.6679355871404692	8	2	1.0	True	0.7882157305551786	hidden_state_023	0.77824277299371
26	22	dino_vitb8	DINO	0.8094004951964383	0.10207619212039264	31.375	8	3	hidden_state_003	0.6702037649586616	8	0	1.0	True	0.7394943714611829	hidden_state_004	0.7744474333288106
27	17	dino_vits8	DINO	0.833110716822831	0.11635971458020261	27.5	8	5	hidden_state_005	0.7373052593533306	8	0	1.0	True	0.7152423261434737	hidden_state_005	0.7741765214831524
28	42	vit_mae_base	MAE	0.7505028938324352	0.1019289084530332	39.375	8	8	hidden_state_008	0.5849050772590749	8	0	1.0	True	0.7951884613091053	hidden_state_006	0.7728456775707702
29	28	vit_huge	ViT	0.791561148908178	0.12457730588608042	32.875	8	7	hidden_state_007	0.6643262881699747	8	0	1.0	True	0.7442931258231308	hidden_state_008	0.7679271373656544
30	74	dinov3_vit7b16	DINOv3	0.8458989126164222	0.07555403786159996	27.857142857142858	7	24	block_024	0.6967906511970589	7	0	0.875	False	0.6799325925345892	block_010	0.7629157525755057
31	19	dinov3_vitl16	DINOv3	0.8218134958237183	0.07912052108973541	28.875	8	15	block_015	0.6727952727881875	8	0	1.0	True	0.7007680685818023	block_007	0.7612907822027604
32	44	fastvit_sa24	FastViT	0.7362286151023884	0.12010813726420135	41.5	8	2	feature_map_002	0.6374205639262186	8	0	1.0	True	0.7844104477831009	feature_map_002	0.7603195314427447
33	29	vgg16_bn	VGG	0.7906208718385785	0.13767003720639995	32.5	8	5	feature_map_005	0.5727782728440451	8	0	1.0	True	0.7274986190145277	feature_map_002	0.7590597454265531
34	47	resnext50_32x4d	ResNeXt	0.7186300930475047	0.16555010210321217	42.25	8	2	feature_map_002	0.5902897615709713	8	0	1.0	True	0.7980344115731377	feature_map_002	0.7583322523103212
35	49	internvit_300m_v25	InternViT	0.6962791859159011	0.2856227921205943	36.875	8	7	hidden_state_007	0.5838293351249604	8	0	1.0	True	0.819176907463918	hidden_state_008	0.7577280466899096
36	36	vgg19	VGG	0.7761514277469876	0.1845261129076374	31.125	8	3	feature_map_003	0.61349098216953	8	0	1.0	True	0.7331518116556752	feature_map_002	0.7546516197013314
37	30	dinov3_vitb16	DINOv3	0.7880387816269805	0.07429732373641086	34.875	8	6	block_006	0.547280245598172	8	0	1.0	True	0.72089158019192	block_003	0.7544651809094503
38	23	dino_vits16	DINO	0.807864585502457	0.13149138239969815	30.5	8	5	hidden_state_005	0.6688848534390517	8	0	1.0	True	0.695972025996261	hidden_state_005	0.751918305749359
39	32	vgg16	VGG	0.7838065389460117	0.17165345249336428	30.125	8	3	feature_map_003	0.6070983871696289	8	0	1.0	True	0.7190297713729528	feature_map_002	0.7514181551594823
40	48	resnet50	ResNet	0.7141773366664986	0.16757639849106232	42.75	8	2	hidden_state_002	0.5724202308094208	8	0	1.0	True	0.7853564249202166	hidden_state_002	0.7497668807933576
41	39	vgg13	VGG	0.764176442591703	0.16939839389236708	33.375	8	3	feature_map_003	0.5836546696015755	8	0	1.0	True	0.7303306043163357	feature_map_002	0.7472535234540194
42	35	ijepa_vith14	I-JEPA	0.7795586620057899	0.11427171101548206	34.5	8	22	hidden_state_022	0.5900348762569335	8	0	1.0	True	0.7044530386799237	hidden_state_021	0.7420058503428568
43	43	vgg11_bn	VGG	0.7448205661257847	0.20271631903222007	36.625	8	5	feature_map_005	0.5894859254413948	8	0	1.0	True	0.7381524487130947	feature_map_002	0.7414865074194397
44	25	dinov3_vits16plus	DINOv3	0.798336351009209	0.11121469546078998	31.375	8	6	block_006	0.6068076447348547	8	0	1.0	True	0.6727736782908906	block_002	0.7355550146500498
45	52	resnet101	ResNet	0.6737880961392148	0.13353964905215976	48.625	8	2	hidden_state_002	0.5620325856333906	8	0	1.0	True	0.787317935385872	hidden_state_002	0.7305530157625434
46	41	vgg13_bn	VGG	0.7547047288873678	0.18816807497181243	36.0	8	5	feature_map_005	0.5691539402281038	8	0	1.0	True	0.7039708439519203	feature_map_002	0.7293377864196441
47	31	dinov3_vits16	DINOv3	0.7843650555794132	0.10333998046307963	33.75	8	8	block_008	0.601571145106911	8	0	1.0	True	0.6509725448049707	block_003	0.7176688001921919
48	58	internvit_300m	InternViT	0.6469560032135162	0.3089077318326083	39.875	8	7	hidden_state_007	0.5619388731752204	8	0	1.0	True	0.7881594992903755	hidden_state_008	0.7175577512519459
49	53	resnet152	ResNet	0.6725515420919308	0.07675311047565314	51.625	8	2	hidden_state_002	0.5385461143299113	8	0	1.0	True	0.7596881227506521	hidden_state_002	0.7161198324212914
50	34	dino_vitb16	DINO	0.7797768643677938	0.1604943823244755	34.0	8	5	hidden_state_005	0.6518267457081776	8	0	1.0	True	0.6504428887835144	hidden_state_005	0.7151098765756541
51	45	vit_base	ViT	0.724899341624655	0.11003740888392743	42.875	8	10	hidden_state_010	0.5494843085650521	8	0	1.0	True	0.7020734523693065	hidden_state_003	0.7134863969969807
52	40	vgg11	VGG	0.7612924589758555	0.1915402351112149	34.0	8	5	feature_map_005	0.6189029111408703	8	0	1.0	True	0.6652859339928537	feature_map_002	0.7132891964843546
