alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible
49	vit_large	ViT	0.6855533549713381	0.16779795117282123	47.125	8	4	hidden_state_004	0.649102071682919	8	1.0	True
50	convnext_base	ConvNeXt	0.6854064546534806	0.08284321192194526	46.125	8	1	hidden_state_001	0.6854064546534806	8	1.0	True
51	dinov3_vits16plus	DINOv3	0.6727736782908906	0.03998134693804388	48.0	8	2	block_002	0.6401886283539284	8	1.0	True
52	convnext_small	ConvNeXt	0.670766135697372	0.043008128801551866	48.75	8	1	hidden_state_001	0.6681038835288466	8	1.0	True
53	vgg11	VGG	0.6652859339928537	0.08799083794727336	47.25	8	2	feature_map_002	0.641787597456521	8	1.0	True
54	fastvit_s12	FastViT	0.6567495990845023	0.05769652786252529	49.375	8	0	feature_map_000	0.6116632807165304	8	1.0	True
55	swinv2_tiny	SwinV2	0.6511609681555114	0.06595260890566881	47.625	8	2	hidden_state_002	0.6511609681555114	8	1.0	True
56	dinov3_vits16	DINOv3	0.6509725448049707	0.052663621646550994	51.125	8	3	block_003	0.6245570730000242	8	1.0	True
57	dino_vitb16	DINO	0.6504428887835144	0.1301739606178265	51.75	8	5	hidden_state_005	0.614427163145268	8	1.0	True
58	fastvit_t12	FastViT	0.6394843329956474	0.06252422893002378	52.625	8	0	feature_map_000	0.6079970117191663	8	1.0	True
59	swin_tiny	Swin	0.63219117378079	0.07344842634369284	51.25	8	2	hidden_state_002	0.6300904147968991	8	1.0	True
60	swinv2_large	SwinV2	0.6250776277174076	0.0774625160603707	57.375	8	3	hidden_state_003	0.5521906027134316	8	1.0	True
61	convnext_tiny	ConvNeXt	0.6195157939560654	0.09933518732787326	50.875	8	1	hidden_state_001	0.6195157939560654	8	1.0	True
62	swin_base	Swin	0.6191163039928319	0.06369093146669663	55.75	8	2	hidden_state_002	0.5725616818358288	8	1.0	True
63	swinv2_base	SwinV2	0.6063143567620249	0.06613412215029559	56.375	8	2	hidden_state_002	0.6063143567620249	8	1.0	True
64	swin_large	Swin	0.5900156115997207	0.07973731528138486	59.25	8	2	hidden_state_002	0.5562074055153231	8	1.0	True
65	swin_small	Swin	0.5872212928148486	0.0873911084214445	59.5	8	2	hidden_state_002	0.5797784541303849	8	1.0	True
66	swinv2_small	SwinV2	0.5864267794146337	0.08127000112278336	59.25	8	2	hidden_state_002	0.5864267794146337	8	1.0	True
67	fastvit_sa36	FastViT	0.582485743698224	0.08797667331985304	58.75	8	0	feature_map_000	0.5262589778989675	8	1.0	True
68	fastvit_t8	FastViT	0.5743754864920895	0.08012814195682291	60.125	8	1	feature_map_001	0.5685959790571452	8	1.0	True
69	convnext_large	ConvNeXt	0.5463792680570262	0.10381104343415398	63.5	8	1	hidden_state_001	0.5349744600225879	8	1.0	True
70	siglip2_base	SigLIP2	0.3737741951446668	0.30154058713509124	60.0	8	1	pooler_output	0.37233173851517487	8	1.0	True
71	siglip2_large	SigLIP2	0.36679395899771533	0.20432696447557852	68.25	8	1	pooler_output	0.36202719347306433	8	1.0	True
72	siglip2_base_naflex	SigLIP2	0.35436077921111725	0.27193183614599054	65.625	8	1	pooler_output	0.3529570462495311	8	1.0	True
73	siglip2_so400m	SigLIP2	0.3166645691359723	0.1524859011872345	72.875	8	1	pooler_output	0.3134021001149066	8	1.0	True
74	dinov3_vit7b16	DINOv3	0.6799325925345892	0.08316648035116994	45.285714285714285	7	10	block_010	0.6670979036774608	7	0.875	False
75	siglip2_so400m_naflex	SigLIP2	0.37893882228879655	0.2385633395599495	68.28571428571429	7	1	pooler_output	0.3769251915576937	7	0.875	False
