model_key	family	layer_index	layer_name	mean_quality	min_quality	max_quality	dataset_count
clip_vit_b16	CLIP	0	hidden_state_000	0.04960628038428982	0.0024108003857280513	0.09506669016584632	3
clip_vit_b16	CLIP	1	hidden_state_001	0.505023119453979	0.11361524163568772	0.778114777380744	8
clip_vit_b16	CLIP	2	hidden_state_002	0.49972621014534113	0.12662639405204462	0.8346125452444815	8
clip_vit_b16	CLIP	3	hidden_state_003	0.5078879991967167	0.17657992565055763	0.8944919752117393	8
clip_vit_b16	CLIP	4	hidden_state_004	0.4705608797620741	0.1314287724790356	0.9183141176031766	8
clip_vit_b16	CLIP	5	hidden_state_005	0.4203682331632337	0.052319536980781026	0.9045759028896809	8
clip_vit_b16	CLIP	6	hidden_state_006	0.44613205457314126	0.06939742540169636	0.9296825169022037	8
clip_vit_b16	CLIP	7	hidden_state_007	0.392134349562156	0.06859999673905955	0.9076369592728748	8
clip_vit_b16	CLIP	8	hidden_state_008	0.5141468980541356	0.023662842784911778	0.9602737874584908	8
clip_vit_b16	CLIP	9	hidden_state_009	0.6204203851270855	0.14689753696018565	0.9212410196783226	8
clip_vit_b16	CLIP	10	hidden_state_010	0.6612526999621674	0.07654746642089473	0.893935873605948	8
clip_vit_b16	CLIP	11	hidden_state_011	0.6181388519232396	0.22308357606374382	0.9393587360594795	8
clip_vit_b16	CLIP	12	hidden_state_012	0.540179033792396	0.04639102579533615	0.9648001858736059	8
clip_vit_b16	CLIP	13	pooler_output	0.5584330209551973	0.06624444614479916	0.9552741635687733	8
clip_vit_b16	CLIP	14	image_embeds	0.5478395024886502	0.02920416521945468	0.9514405204460967	8
clip_vit_b16	CLIP	15	image_embeds_l2	0.5477678872919647	0.018086138058867426	0.95817843866171	8
clip_vit_b32	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1
clip_vit_b32	CLIP	1	hidden_state_001	0.4074119717658043	0.0924721189591078	0.743938414237136	8
clip_vit_b32	CLIP	2	hidden_state_002	0.42833722289289605	0.08224907063197028	0.7009969681835189	8
clip_vit_b32	CLIP	3	hidden_state_003	0.42631848821175716	0.08027416356877325	0.7612203329623114	8
clip_vit_b32	CLIP	4	hidden_state_004	0.4565618826605071	0.12767193308550184	0.9529277208405283	8
clip_vit_b32	CLIP	5	hidden_state_005	0.42156751092239375	0.10478624535315988	0.9344214406120817	8
clip_vit_b32	CLIP	6	hidden_state_006	0.380440185366135	0.036208560311951854	0.8671384147956078	8
clip_vit_b32	CLIP	7	hidden_state_007	0.4302876516202253	0.013924752082711184	0.9335929131568749	8
clip_vit_b32	CLIP	8	hidden_state_008	0.5367558077408775	0.038257589409838436	0.9134885916814305	8
clip_vit_b32	CLIP	9	hidden_state_009	0.6213447142461851	0.18242462507766188	0.874308533616676	8
clip_vit_b32	CLIP	10	hidden_state_010	0.704819169473546	0.536122643395902	0.8760455390334573	8
clip_vit_b32	CLIP	11	hidden_state_011	0.5239200055508914	0.04798679196943488	0.9609665427509294	8
clip_vit_b32	CLIP	12	hidden_state_012	0.5159462216924032	0.08157149599881701	0.9495817843866171	8
clip_vit_b32	CLIP	13	pooler_output	0.5488465010632323	0.10968821035183587	0.9230947955390334	8
clip_vit_b32	CLIP	14	image_embeds	0.5162680344173248	0.04241219578457234	0.91682156133829	8
clip_vit_b32	CLIP	15	image_embeds_l2	0.4907786937042925	0.016927114677652857	0.924953531598513	8
clip_vit_l14	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1
clip_vit_l14	CLIP	1	hidden_state_001	0.37993383416539367	0.06970260223048327	0.7775481889766482	8
clip_vit_l14	CLIP	2	hidden_state_002	0.4054240676467039	0.11071096654275092	0.8682444898687729	8
clip_vit_l14	CLIP	3	hidden_state_003	0.4777609389490802	0.15044144981412638	0.8525966954659198	8
clip_vit_l14	CLIP	4	hidden_state_004	0.460585212869937	0.12151486988847585	0.7584195053406908	8
clip_vit_l14	CLIP	5	hidden_state_005	0.5497524838017753	0.2100371747211896	0.9069560701711108	8
clip_vit_l14	CLIP	6	hidden_state_006	0.5003423905053449	0.2215381040892193	0.9407087940017791	8
clip_vit_l14	CLIP	7	hidden_state_007	0.5418109426065859	0.2150325278810409	0.9297011074731074	8
clip_vit_l14	CLIP	8	hidden_state_008	0.47085558002322236	0.15717936802973975	0.9299922394015154	8
clip_vit_l14	CLIP	9	hidden_state_009	0.38960324082963754	0.031561720163252996	0.9403998382165433	8
clip_vit_l14	CLIP	10	hidden_state_010	0.39270716900678476	0.020889005310184103	0.9567988666396153	8
clip_vit_l14	CLIP	11	hidden_state_011	0.40079523853006815	0.013117562052264303	0.9700820538214245	8
clip_vit_l14	CLIP	12	hidden_state_012	0.4228786922609209	0.05396320114510497	0.9629273922113197	8
clip_vit_l14	CLIP	13	hidden_state_013	0.46408648640940103	0.02551632272326286	0.981179708831534	8
clip_vit_l14	CLIP	14	hidden_state_014	0.5041136869989941	0.09174108905113497	0.9878916269769521	8
clip_vit_l14	CLIP	15	hidden_state_015	0.5359859534188012	0.10710966542750928	0.9850043819030532	8
clip_vit_l14	CLIP	16	hidden_state_016	0.5952155005136711	0.1412639405204461	0.9931046904083783	8
clip_vit_l14	CLIP	17	hidden_state_017	0.6629750038109214	0.17797397769516726	0.9927430703505191	8
clip_vit_l14	CLIP	18	hidden_state_018	0.7194935348772179	0.20155669144981414	0.9761026250992988	8
clip_vit_l14	CLIP	19	hidden_state_019	0.7945758760329984	0.2872908921933085	0.9702967615693854	8
clip_vit_l14	CLIP	20	hidden_state_020	0.8082714998957643	0.3386384758364312	0.961243483247303	8
clip_vit_l14	CLIP	21	hidden_state_021	0.7710849295745659	0.36559014869888473	0.9668912639405205	8
clip_vit_l14	CLIP	22	hidden_state_022	0.7376563161831985	0.40601765799256506	0.9739776951672863	8
clip_vit_l14	CLIP	23	hidden_state_023	0.6546462735261668	0.25654875245933306	0.9708410780669146	8
clip_vit_l14	CLIP	24	hidden_state_024	0.5792729555414148	0.2275268704546405	0.9262314126394052	8
clip_vit_l14	CLIP	25	pooler_output	0.6243739301107478	0.37863938354506677	0.897885687732342	8
clip_vit_l14	CLIP	26	image_embeds	0.5480905027563798	0.14463214736458394	0.8862685873605948	8
clip_vit_l14	CLIP	27	image_embeds_l2	0.5141022518039114	0.061235659705147036	0.8924256505576208	8
clip_vit_l14_336	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1
clip_vit_l14_336	CLIP	1	hidden_state_001	0.3740114440547351	0.056459107806691444	0.7636407070062163	8
clip_vit_l14_336	CLIP	2	hidden_state_002	0.38291654325463864	0.028694237918215612	0.8627904596896271	8
clip_vit_l14_336	CLIP	3	hidden_state_003	0.44295457781718506	0.045074349442379175	0.7964923222015124	8
clip_vit_l14_336	CLIP	4	hidden_state_004	0.44805155514112405	0.04368029739776952	0.8296337358809326	8
clip_vit_l14_336	CLIP	5	hidden_state_005	0.5072829424113192	0.08515334572490708	0.9472436515589843	8
clip_vit_l14_336	CLIP	6	hidden_state_006	0.4667877245373954	0.11024628252788102	0.9684152444813229	8
clip_vit_l14_336	CLIP	7	hidden_state_007	0.5019567694021304	0.11268587360594796	0.9594631624094548	8
clip_vit_l14_336	CLIP	8	hidden_state_008	0.45036178670144866	0.0971189591078067	0.9577192646181977	8
clip_vit_l14_336	CLIP	9	hidden_state_009	0.39535894166576474	0.04283105839829471	0.9624548128076765	8
clip_vit_l14_336	CLIP	10	hidden_state_010	0.39776990166004755	0.026238127602316308	0.9726183383577349	8
clip_vit_l14_336	CLIP	11	hidden_state_011	0.39869558152702034	0.01741889268759847	0.978973071642511	8
clip_vit_l14_336	CLIP	12	hidden_state_012	0.41490758766247987	0.03903345724907065	0.9702014488122942	8
clip_vit_l14_336	CLIP	13	hidden_state_013	0.43605711251269974	0.01717829106124731	0.9866075370912796	8
clip_vit_l14_336	CLIP	14	hidden_state_014	0.48404024732577045	0.08828996282527883	0.9972317616866128	8
clip_vit_l14_336	CLIP	15	hidden_state_015	0.5155695355188832	0.07946096654275092	0.9934240440837144	8
clip_vit_l14_336	CLIP	16	hidden_state_016	0.5837904456595208	0.097932156133829	0.997461067442608	8
clip_vit_l14_336	CLIP	17	hidden_state_017	0.6660453702598907	0.1128020446096654	0.996976571318577	8
clip_vit_l14_336	CLIP	18	hidden_state_018	0.7248079108905019	0.1403345724907063	0.9921339461251523	8
clip_vit_l14_336	CLIP	19	hidden_state_019	0.7943026170737975	0.21921468401486988	0.9899554656021768	8
clip_vit_l14_336	CLIP	20	hidden_state_020	0.8175868058682388	0.25952602230483274	0.9618280995842347	8
clip_vit_l14_336	CLIP	21	hidden_state_021	0.7702259177995584	0.31714684014869887	0.9780436802973977	8
clip_vit_l14_336	CLIP	22	hidden_state_022	0.7352950113011705	0.3683782527881041	0.9823420074349443	8
clip_vit_l14_336	CLIP	23	hidden_state_023	0.6328699623952247	0.2851941754306635	0.9788568773234201	8
clip_vit_l14_336	CLIP	24	hidden_state_024	0.5456815376042746	0.11668052566360138	0.9299488847583643	8
clip_vit_l14_336	CLIP	25	pooler_output	0.5966680489967139	0.22540113858310423	0.910432156133829	8
clip_vit_l14_336	CLIP	26	image_embeds	0.5169702031697447	0.08423601391386884	0.9383131970260223	8
clip_vit_l14_336	CLIP	27	image_embeds_l2	0.49313927888840664	0.04765601088761956	0.9447026022304833	8
convnext_base	ConvNeXt	0	hidden_state_000	0.2006234257606911	0.010223048327137538	0.7913239461155335	8
convnext_base	ConvNeXt	1	hidden_state_001	0.3891911700576474	0.02690511864674401	0.6233023558318919	8
convnext_base	ConvNeXt	2	hidden_state_002	0.39598644632545654	0.19160921404469894	0.6224047978087204	8
convnext_base	ConvNeXt	3	hidden_state_003	0.22412926080785586	0.037904813564770184	0.39707249070631967	8
convnext_base	ConvNeXt	4	hidden_state_004	0.34688583629395986	0.07905042497364939	0.6145446096654276	8
convnext_base	ConvNeXt	5	canonical_embedding	0.3313750961730118	0.08964722202198905	0.5909618959107806	8
convnext_large	ConvNeXt	0	hidden_state_000	0.1823626374593476	0.001277881040892187	0.7281697199367034	8
convnext_large	ConvNeXt	1	hidden_state_001	0.37694109805228226	0.20248605947955395	0.6505837351137767	8
convnext_large	ConvNeXt	2	hidden_state_002	0.4338774992655029	0.2131872002938279	0.7188331788685267	8
convnext_large	ConvNeXt	3	hidden_state_003	0.1363823107786861	0.007385645832866133	0.22567778218290785	8
convnext_large	ConvNeXt	4	hidden_state_004	0.3053459548952083	0.08027392952987521	0.5381040892193308	8
convnext_large	ConvNeXt	5	canonical_embedding	0.3148895757657571	0.11364494329946999	0.5306691449814126	8
convnext_small	ConvNeXt	0	hidden_state_000	0.19624344023775175	0.0015102230483270973	0.7197635732355738	8
convnext_small	ConvNeXt	1	hidden_state_001	0.3766837242494119	0.16101301115241634	0.5989241769805598	8
convnext_small	ConvNeXt	2	hidden_state_002	0.4324558560607801	0.11510926724951687	0.6394738753873084	8
convnext_small	ConvNeXt	3	hidden_state_003	0.2907156942359866	0.06660128071434446	0.491635687732342	8
convnext_small	ConvNeXt	4	hidden_state_004	0.34260218226416195	0.06271269706891527	0.6633364312267658	8
convnext_small	ConvNeXt	5	canonical_embedding	0.3581942017565992	0.11810901209511637	0.643935873605948	8
convnext_tiny	ConvNeXt	0	hidden_state_000	0.16961632618903194	0.004065985130111527	0.8328175898560723	8
convnext_tiny	ConvNeXt	1	hidden_state_001	0.4049031029947136	0.18417995499902173	0.5259403080928096	8
convnext_tiny	ConvNeXt	2	hidden_state_002	0.49362512149880294	0.16106718138037324	0.7484540981605219	8
convnext_tiny	ConvNeXt	3	hidden_state_003	0.33481349690451834	0.11963446573781351	0.6743726765799256	8
convnext_tiny	ConvNeXt	4	hidden_state_004	0.38240434689467995	0.0096653939883235	0.7781133828996283	8
convnext_tiny	ConvNeXt	5	canonical_embedding	0.41736171870064886	0.1296350674276573	0.7964684014869888	8
dino_vitb16	DINO	0	hidden_state_000	0.04960628038428982	0.0024108003857280513	0.09506669016584632	3
dino_vitb16	DINO	1	hidden_state_001	0.236983898437862	0.03287639405204461	0.8583872246650671	8
dino_vitb16	DINO	2	hidden_state_002	0.504516244532631	0.16019981412639406	0.9361059479553904	8
dino_vitb16	DINO	3	hidden_state_003	0.5951431054765937	0.2943773234200744	0.9609665427509294	8
dino_vitb16	DINO	4	hidden_state_004	0.6381159573889436	0.38671492472322516	0.9452834572490706	8
