model_key	family	layer_index	layer_name	mean_quality	min_quality	max_quality	dataset_count
clip_vit_b16	CLIP	1	hidden_state_001	0.3719795539033457	0.11361524163568772	0.7562732342007435	4
clip_vit_b16	CLIP	2	hidden_state_002	0.2967007434944238	0.12662639405204462	0.6526486988847584	4
clip_vit_b16	CLIP	3	hidden_state_003	0.3191217472118959	0.17657992565055763	0.6476533457249071	4
clip_vit_b16	CLIP	4	hidden_state_004	0.25139405204460963	0.1937732342007435	0.3739544609665427	4
clip_vit_b16	CLIP	5	hidden_state_005	0.17117797397769516	0.13394516728624534	0.24488847583643122	4
clip_vit_b16	CLIP	6	hidden_state_006	0.1971421933085502	0.12848513011152418	0.28125	4
clip_vit_b16	CLIP	7	hidden_state_007	0.16737337360594795	0.06888940520446098	0.23966078066914498	4
clip_vit_b16	CLIP	8	hidden_state_008	0.33204577137546465	0.1503252788104089	0.44690985130111527	4
clip_vit_b16	CLIP	9	hidden_state_009	0.5339800185873607	0.2714916356877324	0.774860594795539	4
clip_vit_b16	CLIP	10	hidden_state_010	0.7414323884758365	0.5046468401486989	0.893935873605948	4
clip_vit_b16	CLIP	11	hidden_state_011	0.8285896840148699	0.5902648698884758	0.9393587360594795	4
clip_vit_b16	CLIP	12	hidden_state_012	0.8962883364312267	0.7594098513011153	0.9648001858736059	4
clip_vit_b16	CLIP	13	pooler_output	0.8708468866171004	0.7175882899628252	0.9552741635687733	4
clip_vit_b16	CLIP	14	image_embeds	0.8358794144981413	0.637546468401487	0.9514405204460967	4
clip_vit_b16	CLIP	15	image_embeds_l2	0.830651719330855	0.626974907063197	0.95817843866171	4
clip_vit_b32	CLIP	1	hidden_state_001	0.26867448884758366	0.0924721189591078	0.39079925650557623	4
clip_vit_b32	CLIP	2	hidden_state_002	0.3090439126394052	0.08224907063197028	0.6761152416356877	4
clip_vit_b32	CLIP	3	hidden_state_003	0.2148582713754647	0.08027416356877325	0.545771375464684	4
clip_vit_b32	CLIP	4	hidden_state_004	0.2377149163568773	0.12767193308550184	0.4795539033457249	4
clip_vit_b32	CLIP	5	hidden_state_005	0.1588928903345725	0.10478624535315988	0.2516263940520446	4
clip_vit_b32	CLIP	6	hidden_state_006	0.11747792750929369	0.08468866171003721	0.15903810408921934	4
clip_vit_b32	CLIP	7	hidden_state_007	0.20870120817843868	0.13359665427509293	0.26789033457249073	4
clip_vit_b32	CLIP	8	hidden_state_008	0.39692727695167285	0.27184014869888473	0.4673559479553903	4
clip_vit_b32	CLIP	9	hidden_state_009	0.6110013940520446	0.5327602230483272	0.6943540892193308	4
clip_vit_b32	CLIP	10	hidden_state_010	0.7676870353159851	0.7013243494423792	0.8760455390334573	4
