model_key	family	layer_index	layer_name	mean_quality	min_quality	max_quality	dataset_count	mean_alignment	min_alignment	max_alignment	joint_score
clip_vit_b16	CLIP	1	hidden_state_001	0.3719795539033457	0.11361524163568772	0.7562732342007435	4	0.26924566294919455	0.11074969021065674	0.3999380421313507	0.32061260842627015
clip_vit_b16	CLIP	2	hidden_state_002	0.2967007434944238	0.12662639405204462	0.6526486988847584	4	0.38394516728624534	0.2350526641883519	0.49457868649318465	0.3403229553903346
clip_vit_b16	CLIP	3	hidden_state_003	0.3191217472118959	0.17657992565055763	0.6476533457249071	4	0.587360594795539	0.44222428748451054	0.8055297397769516	0.45324117100371747
clip_vit_b16	CLIP	4	hidden_state_004	0.25139405204460963	0.1937732342007435	0.3739544609665427	4	0.6252710656753409	0.5357806691449815	0.7857032218091698	0.43833255885997524
clip_vit_b16	CLIP	5	hidden_state_005	0.17117797397769516	0.13394516728624534	0.24488847583643122	4	0.5747560408921933	0.4919454770755886	0.6588444857496901	0.37296700743494426
clip_vit_b16	CLIP	6	hidden_state_006	0.1971421933085502	0.12848513011152418	0.28125	4	0.5422087980173482	0.4162794299876084	0.7043060718711276	0.3696754956629492
clip_vit_b16	CLIP	7	hidden_state_007	0.16737337360594795	0.06888940520446098	0.23966078066914498	4	0.44567069392812886	0.3597428748451053	0.5099907063197026	0.3065220337670384
clip_vit_b16	CLIP	8	hidden_state_008	0.33204577137546465	0.1503252788104089	0.44690985130111527	4	0.5692379182156134	0.4228624535315985	0.7754801734820322	0.45064184479553904
clip_vit_b16	CLIP	9	hidden_state_009	0.5339800185873607	0.2714916356877324	0.774860594795539	4	0.6042634758364311	0.4203066914498141	0.7644052044609665	0.5691217472118959
clip_vit_b16	CLIP	10	hidden_state_010	0.7414323884758365	0.5046468401486989	0.893935873605948	4	0.6579925650557621	0.6203531598513011	0.6973358116480793	0.6997124767657993
clip_vit_b16	CLIP	11	hidden_state_011	0.8285896840148699	0.5902648698884758	0.9393587360594795	4	0.6149512081784386	0.5601765799256505	0.648776332094176	0.7217704460966543
clip_vit_b16	CLIP	12	hidden_state_012	0.8962883364312267	0.7594098513011153	0.9648001858736059	4	0.5943695786864932	0.5323729863692689	0.6706939281288724	0.74532895755886
clip_vit_b16	CLIP	13	pooler_output	0.8708468866171004	0.7175882899628252	0.9552741635687733	4	0.5996747211895911	0.5401177199504337	0.6821561338289963	0.7352608039033457
clip_vit_b16	CLIP	14	image_embeds	0.8358794144981413	0.637546468401487	0.9514405204460967	4	0.5617255266418836	0.504182156133829	0.6651951672862454	0.6988024705700124
clip_vit_b16	CLIP	15	image_embeds_l2	0.830651719330855	0.626974907063197	0.95817843866171	4	0.557465923172243	0.49728934324659235	0.6606257744733581	0.694058821251549
clip_vit_b32	CLIP	1	hidden_state_001	0.26867448884758366	0.0924721189591078	0.39079925650557623	4	0.20271840148698886	0.059169764560099126	0.3543990086741016	0.23569644516728627
clip_vit_b32	CLIP	2	hidden_state_002	0.3090439126394052	0.08224907063197028	0.6761152416356877	4	0.22409386617100374	0.08565675340768279	0.3828996282527881	0.2665688894052045
clip_vit_b32	CLIP	3	hidden_state_003	0.2148582713754647	0.08027416356877325	0.545771375464684	4	0.33670229244114	0.22142193308550187	0.4850526641883519	0.2757802819083024
clip_vit_b32	CLIP	4	hidden_state_004	0.2377149163568773	0.12767193308550184	0.4795539033457249	4	0.5624419144981413	0.4298327137546469	0.8365086741016109	0.4000784154275093
clip_vit_b32	CLIP	5	hidden_state_005	0.1588928903345725	0.10478624535315988	0.2516263940520446	4	0.5572916666666666	0.48280669144981414	0.7189436183395291	0.35809227850061953
clip_vit_b32	CLIP	6	hidden_state_006	0.11747792750929369	0.08468866171003721	0.15903810408921934	4	0.4486330545229244	0.3439436183395291	0.5949504337050805	0.28305549101610905
clip_vit_b32	CLIP	7	hidden_state_007	0.20870120817843868	0.13359665427509293	0.26789033457249073	4	0.5273389095415117	0.48691140024783147	0.5846499380421314	0.36802005885997524
clip_vit_b32	CLIP	8	hidden_state_008	0.39692727695167285	0.27184014869888473	0.4673559479553903	4	0.6221538104089219	0.5841078066914499	0.6767348203221809	0.5095405436802973
clip_vit_b32	CLIP	9	hidden_state_009	0.6110013940520446	0.5327602230483272	0.6943540892193308	4	0.602985594795539	0.5130111524163569	0.6607032218091697	0.6069934944237918
clip_vit_b32	CLIP	10	hidden_state_010	0.7676870353159851	0.7013243494423792	0.8760455390334573	4	0.6720686183395291	0.5808550185873605	0.7227385377942999	0.7198778268277571
clip_vit_b32	CLIP	11	hidden_state_011	0.8464800185873607	0.7008596654275093	0.9609665427509294	4	0.6265683085501859	0.46824659231722426	0.7095724907063197	0.7365241635687733
clip_vit_b32	CLIP	12	hidden_state_012	0.8837418680297398	0.7620817843866171	0.9495817843866171	4	0.5663917286245354	0.315365551425031	0.6767348203221809	0.7250667983271375
clip_vit_b32	CLIP	13	pooler_output	0.8705274163568772	0.7649860594795539	0.9230947955390334	4	0.5730909231722429	0.32148389095415114	0.684634448574969	0.7218091697645601
clip_vit_b32	CLIP	14	image_embeds	0.8487453531598513	0.6887778810408922	0.91682156133829	4	0.5417247521685253	0.26866480793060715	0.6735594795539033	0.6952350526641884
clip_vit_b32	CLIP	15	image_embeds_l2	0.8459282063197026	0.6730947955390334	0.924953531598513	4	0.5379104708798017	0.2607651796778191	0.6699194547707559	0.6919193385997522
clip_vit_l14	CLIP	1	hidden_state_001	0.2178496747211896	0.06970260223048327	0.41786710037174724	4	0.15452679677819084	0.07806691449814125	0.2342007434944238	0.18618823574969023
clip_vit_l14	CLIP	2	hidden_state_002	0.25874186802973975	0.11071096654275092	0.5863150557620818	4	0.2383828996282528	0.1370817843866171	0.2785006195786865	0.24856238382899626
clip_vit_l14	CLIP	3	hidden_state_003	0.3105541356877323	0.15044144981412638	0.6596189591078067	4	0.3357729244114003	0.2410935563816605	0.3910315985130111	0.3231635300495663
clip_vit_l14	CLIP	4	hidden_state_004	0.25816101301115246	0.12151486988847585	0.5672630111524164	4	0.443657063197026	0.3554832713754647	0.6013785625774474	0.35090903810408924
clip_vit_l14	CLIP	5	hidden_state_005	0.33869656133829	0.2100371747211896	0.5522769516728625	4	0.658670229244114	0.5343091697645601	0.8887856257744734	0.498683395291202
clip_vit_l14	CLIP	6	hidden_state_006	0.26466658921933084	0.2215381040892193	0.32028345724907065	4	0.6865706319702602	0.5856567534076828	0.9096964064436183	0.47561861059479554
clip_vit_l14	CLIP	7	hidden_state_007	0.25151022304832715	0.2150325278810409	0.3264405204460966	4	0.6804135687732342	0.5815520446096655	0.8785625774473358	0.4659618959107807
clip_vit_l14	CLIP	8	hidden_state_008	0.1962128252788104	0.15717936802973975	0.29519052044609667	4	0.6459882280049567	0.5516573729863693	0.815597893432466	0.4211005266418836
clip_vit_l14	CLIP	9	hidden_state_009	0.12232806691449814	0.07829925650557622	0.20271840148698883	4	0.5108426270136307	0.4336276332094176	0.5773698884758364	0.31658534696406443
clip_vit_l14	CLIP	10	hidden_state_010	0.12839800185873607	0.08282992565055765	0.19632899628252787	4	0.4943657063197026	0.4076827757125155	0.5517348203221809	0.31138185408921937
clip_vit_l14	CLIP	11	hidden_state_011	0.13830157992565056	0.08248141263940521	0.20759758364312264	4	0.48875077447335813	0.39776951672862454	0.5423636926889716	0.3135261771995044
clip_vit_l14	CLIP	12	hidden_state_012	0.16202950743494424	0.060060408921933095	0.2691682156133829	4	0.48027029120198267	0.375	0.5410470879801735	0.32114989931846344
clip_vit_l14	CLIP	13	hidden_state_013	0.21953415427509293	0.07760223048327138	0.33910315985130113	4	0.5031753407682775	0.3803438661710037	0.6510223048327137	0.3613547475216852
clip_vit_l14	CLIP	14	hidden_state_014	0.26434711895910784	0.12163104089219333	0.42890334572490707	4	0.5078221809169765	0.3403035935563817	0.7237453531598513	0.38608464993804215
clip_vit_l14	CLIP	15	hidden_state_015	0.3186280204460966	0.10710966542750928	0.5844563197026023	4	0.5698381350681536	0.40559169764560105	0.7932930607187113	0.4442330777571251
clip_vit_l14	CLIP	16	hidden_state_016	0.3946038568773234	0.1412639405204461	0.6475371747211895	4	0.6475758983890954	0.5072800495662949	0.8434014869888475	0.5210898776332094
clip_vit_l14	CLIP	17	hidden_state_017	0.5154797862453532	0.17797397769516726	0.7314126394052045	4	0.6781288723667906	0.593091697645601	0.7534076827757126	0.5968043293060719
clip_vit_l14	CLIP	18	hidden_state_018	0.5801579925650557	0.20155669144981414	0.7532527881040892	4	0.6814591078066915	0.6532682775712516	0.7205700123915738	0.6308085501858736
clip_vit_l14	CLIP	19	hidden_state_019	0.6965613382899628	0.2872908921933085	0.8957946096654275	4	0.7308898698884758	0.683317843866171	0.8024318463444858	0.7137256040892193
clip_vit_l14	CLIP	20	hidden_state_020	0.7292925185873607	0.3386384758364312	0.9308782527881041	4	0.6849248760842627	0.6395600991325898	0.7764869888475836	0.7071086973358116
clip_vit_l14	CLIP	21	hidden_state_021	0.7553148234200744	0.36559014869888473	0.9668912639405205	4	0.6588444857496902	0.6041666666666666	0.7738537794299876	0.7070796545848823
clip_vit_l14	CLIP	22	hidden_state_022	0.7566798327137547	0.40601765799256506	0.9739776951672863	4	0.6050573110285006	0.5578531598513011	0.7016728624535316	0.6808685718711276
clip_vit_l14	CLIP	23	hidden_state_023	0.7568831319702602	0.4379646840148699	0.9708410780669146	4	0.5354902416356877	0.46615551425030977	0.6229863692688972	0.646186686802974
clip_vit_l14	CLIP	24	hidden_state_024	0.7894400557620818	0.5282295539033457	0.9262314126394052	4	0.55392270755886	0.49419144981412644	0.6063351920693928	0.6716813816604709
clip_vit_l14	CLIP	25	pooler_output	0.7831958643122676	0.5329925650557621	0.897885687732342	4	0.5601378562577448	0.5051889714993805	0.6157063197026023	0.6716668602850062
clip_vit_l14	CLIP	26	image_embeds	0.7782005111524164	0.5095260223048327	0.8862685873605948	4	0.5326827757125155	0.4769981412639405	0.6196561338289963	0.6554416434324659
clip_vit_l14	CLIP	27	image_embeds_l2	0.77067843866171	0.4937267657992565	0.8924256505576208	4	0.5243765489467163	0.4649163568773234	0.6108271375464684	0.6475274938042132
clip_vit_l14_336	CLIP	1	hidden_state_001	0.18491519516728624	0.056459107806691444	0.4048559479553903	4	0.160432156133829	0.07225836431226765	0.23149008674101612	0.17267367565055763
clip_vit_l14_336	CLIP	2	hidden_state_002	0.17036477695167287	0.028694237918215612	0.4283224907063197	4	0.23607884138785623	0.17263011152416355	0.31652726146220567	0.20322180916976457
clip_vit_l14_336	CLIP	3	hidden_state_003	0.19946561338289961	0.045074349442379175	0.49465613382899626	4	0.3452214993804213	0.27524783147459725	0.4494268897149938	0.27234355638166047
clip_vit_l14_336	CLIP	4	hidden_state_004	0.16342355947955392	0.04368029739776952	0.41310408921933084	4	0.4182349752168526	0.35501858736059483	0.5856567534076828	0.29082926734820325
clip_vit_l14_336	CLIP	5	hidden_state_005	0.2011210501858736	0.08515334572490708	0.38011152416356875	4	0.5962670384138786	0.4983736059479554	0.8092472118959108	0.3986940442998761
clip_vit_l14_336	CLIP	6	hidden_state_006	0.1656017657992565	0.11024628252788102	0.2261849442379182	4	0.6299372676579925	0.543138166047088	0.8396065675340768	0.3977695167286245
clip_vit_l14_336	CLIP	7	hidden_state_007	0.16862221189591076	0.11268587360594796	0.2337360594795539	4	0.6365202912019827	0.5406598513011153	0.8444857496902106	0.40257125154894674
clip_vit_l14_336	CLIP	8	hidden_state_008	0.1393761617100372	0.0971189591078067	0.2318773234200744	4	0.6044958178438662	0.5220724907063197	0.7507744733581165	0.3719359897769517
