model_key	family	layer_index	layer_name	mean_alignment	min_alignment	max_alignment	dataset_count
clip_vit_b16	CLIP	0	hidden_state_000	0.04910692634080399	0.036885245901639385	0.06464459880069856	3
clip_vit_b16	CLIP	1	hidden_state_001	0.40104267894505896	0.11074969021065674	0.5963153089140382	8
clip_vit_b16	CLIP	2	hidden_state_002	0.574732240222435	0.2350526641883519	0.8212142393856029	8
clip_vit_b16	CLIP	3	hidden_state_003	0.7451666524351224	0.44222428748451054	0.9165537410388543	8
clip_vit_b16	CLIP	4	hidden_state_004	0.7819377257471819	0.5357806691449815	0.9698528835538062	8
clip_vit_b16	CLIP	5	hidden_state_005	0.7331844757196148	0.4919454770755886	0.9807036243827277	8
clip_vit_b16	CLIP	6	hidden_state_006	0.6943658351766337	0.4162794299876084	0.978172747249724	8
clip_vit_b16	CLIP	7	hidden_state_007	0.5930252022146636	0.3597428748451053	0.965790845481317	8
clip_vit_b16	CLIP	8	hidden_state_008	0.7298659137336982	0.4228624535315985	0.9573541715681851	8
clip_vit_b16	CLIP	9	hidden_state_009	0.713174969004972	0.4203066914498141	0.8580936419152511	8
clip_vit_b16	CLIP	10	hidden_state_010	0.5982489424055651	0.4847399294576135	0.6973358116480793	8
clip_vit_b16	CLIP	11	hidden_state_011	0.3923319015376841	0.10815007165006289	0.648776332094176	8
clip_vit_b16	CLIP	12	hidden_state_012	0.31997513014818035	0.038053580087279805	0.6706939281288724	8
clip_vit_b16	CLIP	13	pooler_output	0.3378634095068501	0.0480592589685512	0.6821561338289963	8
clip_vit_b16	CLIP	14	image_embeds	0.30985424642928044	0.02969679045631025	0.6651951672862454	8
clip_vit_b16	CLIP	15	image_embeds_l2	0.29217728213292377	0.019913553806323647	0.6606257744733581	8
clip_vit_b32	CLIP	0	hidden_state_000	0.06586144029170465	0.06586144029170465	0.06586144029170465	1
clip_vit_b32	CLIP	1	hidden_state_001	0.30719180628987763	0.059169764560099126	0.46687356475712855	8
clip_vit_b32	CLIP	2	hidden_state_002	0.37273758824259373	0.08565675340768279	0.5731116437313855	8
clip_vit_b32	CLIP	3	hidden_state_003	0.5320407313331922	0.22142193308550187	0.7689292465212462	8
clip_vit_b32	CLIP	4	hidden_state_004	0.7268313618229718	0.4298327137546469	0.9356863710664086	8
clip_vit_b32	CLIP	5	hidden_state_005	0.7152953563591233	0.48280669144981414	0.9395457579443075	8
clip_vit_b32	CLIP	6	hidden_state_006	0.6398361552230691	0.3439436183395291	0.9672598373161754	8
clip_vit_b32	CLIP	7	hidden_state_007	0.6728918442533274	0.48691140024783147	0.9623867449135513	8
clip_vit_b32	CLIP	8	hidden_state_008	0.7471146409662485	0.5841078066914499	0.9523590001310979	8
clip_vit_b32	CLIP	9	hidden_state_009	0.6611430648526552	0.5130111524163569	0.8397558231507691	8
clip_vit_b32	CLIP	10	hidden_state_010	0.5624059507877466	0.4352411313128534	0.7227385377942999	8
clip_vit_b32	CLIP	11	hidden_state_011	0.3706448894135045	0.0876050261180303	0.7095724907063197	8
clip_vit_b32	CLIP	12	hidden_state_012	0.31331478422655823	0.03531643468163731	0.6767348203221809	8
clip_vit_b32	CLIP	13	pooler_output	0.32660142364461703	0.04223557195148998	0.684634448574969	8
clip_vit_b32	CLIP	14	image_embeds	0.30101167817664853	0.02667777724283471	0.6735594795539033	8
clip_vit_b32	CLIP	15	image_embeds_l2	0.2803483170104523	0.012899650901153461	0.6699194547707559	8
clip_vit_l14	CLIP	0	hidden_state_000	0.06586144029170465	0.06586144029170465	0.06586144029170465	1
clip_vit_l14	CLIP	1	hidden_state_001	0.2890916639468455	0.07806691449814125	0.48660361323644336	8
clip_vit_l14	CLIP	2	hidden_state_002	0.39502530498911015	0.1370817843866171	0.6454194772245708	8
clip_vit_l14	CLIP	3	hidden_state_003	0.4803532367886927	0.2410935563816605	0.7226023230472635	8
clip_vit_l14	CLIP	4	hidden_state_004	0.5810653201523013	0.3554832713754647	0.775423129775718	8
clip_vit_l14	CLIP	5	hidden_state_005	0.77204900236563	0.5343091697645601	0.9130975763669301	8
clip_vit_l14	CLIP	6	hidden_state_006	0.824553133498656	0.5856567534076828	0.9925788462544758	8
clip_vit_l14	CLIP	7	hidden_state_007	0.8186994561883185	0.5815520446096655	0.9913691633089886	8
clip_vit_l14	CLIP	8	hidden_state_008	0.7980286442103726	0.5516573729863693	0.9816596684652216	8
