model_key	family	layer_index	layer_name	mean_quality	min_quality	max_quality	dataset_count	mean_alignment	min_alignment	max_alignment	joint_score
clip_vit_b16	CLIP	0	hidden_state_000	0.04960628038428982	0.0024108003857280513	0.09506669016584632	3	0.04910692634080399	0.036885245901639385	0.06464459880069856	0.04935660336254691
clip_vit_b16	CLIP	1	hidden_state_001	0.6380666850046124	0.4792591741233283	0.778114777380744	4	0.5328396949409233	0.4594278491673706	0.5963153089140382	0.5854531899727679
clip_vit_b16	CLIP	2	hidden_state_002	0.7027516767962585	0.5846876963000339	0.8346125452444815	4	0.7655193131586246	0.6384041591601693	0.8212142393856029	0.7341354949774416
clip_vit_b16	CLIP	3	hidden_state_003	0.6966542511815375	0.39022934280035837	0.8944919752117393	4	0.9029727100747056	0.8891971498234116	0.9165537410388543	0.7998134806281215
clip_vit_b16	CLIP	4	hidden_state_004	0.6897277074795386	0.1314287724790356	0.9183141176031766	4	0.9386043858190231	0.9040544073612584	0.9698528835538062	0.8141660466492808
clip_vit_b16	CLIP	5	hidden_state_005	0.6695584923487722	0.052319536980781026	0.9045759028896809	4	0.8916129105470363	0.7106907215374246	0.9807036243827277	0.7805857014479043
clip_vit_b16	CLIP	6	hidden_state_006	0.6951219158377323	0.06939742540169636	0.9296825169022037	4	0.8465228723359194	0.5512484682161283	0.978172747249724	0.7708223940868258
clip_vit_b16	CLIP	7	hidden_state_007	0.616895325518364	0.06859999673905955	0.9076369592728748	4	0.7403797105011983	0.36080089269675203	0.965790845481317	0.6786375180097812
clip_vit_b16	CLIP	8	hidden_state_008	0.6962480247328067	0.023662842784911778	0.9602737874584908	4	0.8904939092517832	0.7757858866497097	0.9573541715681851	0.7933709669922949
clip_vit_b16	CLIP	9	hidden_state_009	0.7068607516668104	0.14689753696018565	0.9212410196783226	4	0.8220864621735129	0.7386401738029981	0.8580936419152511	0.7644736069201616
clip_vit_b16	CLIP	10	hidden_state_010	0.5810730114484983	0.07654746642089473	0.8326568175250906	4	0.5385053197553682	0.4847399294576135	0.5899834405622644	0.5597891656019333
clip_vit_b16	CLIP	11	hidden_state_011	0.40768801983160924	0.22308357606374382	0.6636176873410291	4	0.16971259489692958	0.10815007165006289	0.25581909279152	0.28870030736426944
clip_vit_b16	CLIP	12	hidden_state_012	0.18406973115356515	0.04639102579533615	0.2835963753788698	4	0.04558068160986753	0.038053580087279805	0.05955385471766548	0.11482520638171634
clip_vit_b16	CLIP	13	pooler_output	0.24601915529329416	0.06624444614479916	0.3613097942855833	4	0.07605209782410917	0.0480592589685512	0.10485890139488159	0.16103562655870166
clip_vit_b16	CLIP	14	image_embeds	0.259799590479159	0.02920416521945468	0.4589089322307922	4	0.05798296621667739	0.02969679045631025	0.08417145223980842	0.1588912783479182
clip_vit_b16	CLIP	15	image_embeds_l2	0.2648840552530743	0.018086138058867426	0.5963391223607836	4	0.026888641093604664	0.019913553806323647	0.03366735539574676	0.14588634817333948
clip_vit_b32	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1	0.06586144029170465	0.06586144029170465	0.06586144029170465	0.07873746581586144
clip_vit_b32	CLIP	1	hidden_state_001	0.5461494546840249	0.3227127297735716	0.743938414237136	4	0.41166521109276644	0.29402443878809625	0.46687356475712855	0.47890733288839565
clip_vit_b32	CLIP	2	hidden_state_002	0.5476305331463869	0.3585409144595696	0.7009969681835189	4	0.5213813103141837	0.4141570514976864	0.5731116437313855	0.5345059217302852
clip_vit_b32	CLIP	3	hidden_state_003	0.6377787050480497	0.4074922681385522	0.7612203329623114	4	0.7273791702252443	0.6701016678751816	0.7689292465212462	0.682578937636647
clip_vit_b32	CLIP	4	hidden_state_004	0.6754088489641369	0.1663639569967768	0.9529277208405283	4	0.8912208091478023	0.8640576854645582	0.9356863710664086	0.7833148290559696
clip_vit_b32	CLIP	5	hidden_state_005	0.684242131510215	0.11348759297971009	0.9344214406120817	4	0.87329904605158	0.7055197710247706	0.9395457579443075	0.7787705887808976
clip_vit_b32	CLIP	6	hidden_state_006	0.6434024432229762	0.036208560311951854	0.8671384147956078	4	0.8310392559232138	0.5669767849644328	0.9672598373161754	0.737220849573095
clip_vit_b32	CLIP	7	hidden_state_007	0.6518740950620119	0.013924752082711184	0.9335929131568749	4	0.8184447789651428	0.5572219247329175	0.9623867449135513	0.7351594370135773
clip_vit_b32	CLIP	8	hidden_state_008	0.676584338530082	0.038257589409838436	0.9134885916814305	4	0.872075471523575	0.745766855915632	0.9523590001310979	0.7743299050268285
clip_vit_b32	CLIP	9	hidden_state_009	0.6316880344403255	0.18242462507766188	0.874308533616676	4	0.7193005349097713	0.6396273013536734	0.8397558231507691	0.6754942846750485
clip_vit_b32	CLIP	10	hidden_state_010	0.6419513036311068	0.536122643395902	0.7376884934506277	4	0.4527432832359641	0.4352411313128534	0.4690698826868402	0.5473472934335354
clip_vit_b32	CLIP	11	hidden_state_011	0.20135999251442216	0.04798679196943488	0.3173773586039056	4	0.11472147027682313	0.0876050261180303	0.14071887718382894	0.15804073139562264
clip_vit_b32	CLIP	12	hidden_state_012	0.14815057535506676	0.08157149599881701	0.21645941149824816	4	0.060237839828581184	0.03531643468163731	0.08382956553031105	0.10419420759182398
clip_vit_b32	CLIP	13	pooler_output	0.2271655857695872	0.10968821035183587	0.3885900029985686	4	0.08011192411699122	0.04223557195148998	0.12517597163865823	0.1536387549432892
clip_vit_b32	CLIP	14	image_embeds	0.18379071567479843	0.04241219578457234	0.2931580307779733	4	0.0602986041847717	0.02667777724283471	0.08968195351657166	0.12204465992978507
clip_vit_b32	CLIP	15	image_embeds_l2	0.13562918108888244	0.016927114677652857	0.20743459341012152	4	0.022786163141102937	0.012899650901153461	0.04135973061572618	0.07920767211499269
clip_vit_l14	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1	0.06586144029170465	0.06586144029170465	0.06586144029170465	0.07873746581586144
clip_vit_l14	CLIP	1	hidden_state_001	0.5420179936095977	0.25861744335553516	0.7775481889766482	4	0.42365653111550017	0.33226264517752707	0.48660361323644336	0.4828372623625489
clip_vit_l14	CLIP	2	hidden_state_002	0.5521062672636681	0.312582696059743	0.8682444898687729	4	0.5516677103499674	0.411974872233809	0.6454194772245708	0.5518869888068177
clip_vit_l14	CLIP	3	hidden_state_003	0.6449677422104281	0.49642234145720776	0.8525966954659198	4	0.6249335491659851	0.47765306402138946	0.7226023230472635	0.6349506456882066
clip_vit_l14	CLIP	4	hidden_state_004	0.6630094127287216	0.5472520452974494	0.7584195053406908	4	0.7184735771075764	0.6566200298266466	0.775423129775718	0.690741494918149
clip_vit_l14	CLIP	5	hidden_state_005	0.7608084062652607	0.5263573021038215	0.9069560701711108	4	0.885427775487146	0.8633702845090728	0.9130975763669301	0.8231180908762034
clip_vit_l14	CLIP	6	hidden_state_006	0.736018191791359	0.25332251215987533	0.9407087940017791	4	0.9625356350270519	0.933063619231997	0.9925788462544758	0.8492769134092054
clip_vit_l14	CLIP	7	hidden_state_007	0.8321116621648446	0.6215184097251543	0.9297011074731074	4	0.9569853436034027	0.9114114036804004	0.9913691633089886	0.8945485028841236
clip_vit_l14	CLIP	8	hidden_state_008	0.7454983347676343	0.24691980575092592	0.9299922394015154	4	0.9500690604157884	0.8686215718648346	0.9816596684652216	0.8477836975917113
clip_vit_l14	CLIP	9	hidden_state_009	0.6568784147447769	0.031561720163252996	0.9403998382165433	4	0.8654697553732911	0.6143679038789173	0.9812763722149049	0.7611740850590341
clip_vit_l14	CLIP	10	hidden_state_010	0.6570163361548335	0.020889005310184103	0.9567988666396153	4	0.8493807993978504	0.5851563849786209	0.978877654129512	0.753198567776342
clip_vit_l14	CLIP	11	hidden_state_011	0.6632888971344857	0.013117562052264303	0.9700820538214245	4	0.8260955314935714	0.5353288572634874	0.9645645840569393	0.7446922143140285
clip_vit_l14	CLIP	12	hidden_state_012	0.6837278770868976	0.05396320114510497	0.9629273922113197	4	0.7914052805072187	0.4407958382390464	0.9618510615371741	0.7375665787970582
clip_vit_l14	CLIP	13	hidden_state_013	0.7086388185437091	0.02551632272326286	0.981179708831534	4	0.79371974562073	0.385482564838366	0.9708962798913761	0.7511792820822196
clip_vit_l14	CLIP	14	hidden_state_014	0.7438802550388803	0.09174108905113497	0.9878916269769521	4	0.8307324291160681	0.44743528463433413	0.9917736887613096	0.7873063420774742
clip_vit_l14	CLIP	15	hidden_state_015	0.7533438863915056	0.1344281940911759	0.9850043819030532	4	0.8213165434756448	0.45743349969850605	0.968569994050669	0.7873302149335752
clip_vit_l14	CLIP	16	hidden_state_016	0.7958271441500189	0.24592264448540646	0.9931046904083783	4	0.8677812136954077	0.6195578765442269	0.9820108037496356	0.8318041789227133
clip_vit_l14	CLIP	17	hidden_state_017	0.8104702213764896	0.3024746461879606	0.9927430703505191	4	0.8961874328455708	0.7637965670878429	0.987814634368171	0.8533288271110302
clip_vit_l14	CLIP	18	hidden_state_018	0.8588290771893801	0.530796579101834	0.9761026250992988	4	0.8663838465311812	0.7989810419219641	0.9514293803682358	0.8626064618602807
clip_vit_l14	CLIP	19	hidden_state_019	0.8925904137760339	0.6963208439313898	0.9702967615693854	4	0.8145662319829581	0.703390459519904	0.9302921273351125	0.853578322879496
clip_vit_l14	CLIP	20	hidden_state_020	0.887250481204168	0.8616539620164525	0.961243483247303	4	0.7020011651974047	0.5527614094755992	0.813291608421231	0.7946258232007863
clip_vit_l14	CLIP	21	hidden_state_021	0.7868550357290572	0.6726797765054389	0.9498737701563676	4	0.47774400591889304	0.33174450949129747	0.7188170445456108	0.6322995208239751
clip_vit_l14	CLIP	22	hidden_state_022	0.7186327996526424	0.45871012185145554	0.9034188019491797	4	0.26554845389060855	0.17119558222779252	0.4072302831413414	0.49209062677162546
clip_vit_l14	CLIP	23	hidden_state_023	0.5524094150820733	0.25654875245933306	0.8854560339412413	4	0.13197380885196053	0.07161787095202574	0.22748658174669031	0.3421916119670169
clip_vit_l14	CLIP	24	hidden_state_024	0.36910585532074786	0.2275268704546405	0.45055198958695136	4	0.09813961406789509	0.05842624311137296	0.15474332762714946	0.2336227346943215
clip_vit_l14	CLIP	25	pooler_output	0.46555199590922786	0.37863938354506677	0.5040011811053052	4	0.1460677709031742	0.10174578937599105	0.24550147451279405	0.305809883406201
clip_vit_l14	CLIP	26	image_embeds	0.3179804943603434	0.14463214736458394	0.48984882108421124	4	0.08466740525558558	0.057182408230358105	0.14471265377417963	0.2013239498079645
clip_vit_l14	CLIP	27	image_embeds_l2	0.25752606494611296	0.061235659705147036	0.4850387193771947	4	0.04063538059169487	0.032126846558903584	0.055475351279156954	0.1490807227689039
clip_vit_l14_336	CLIP	0	hidden_state_000	0.09161349134001823	0.09161349134001823	0.09161349134001823	1	0.06586144029170465	0.06586144029170465	0.06586144029170465	0.07873746581586144
clip_vit_l14_336	CLIP	1	hidden_state_001	0.5631076929421839	0.34089009460055464	0.7636407070062163	4	0.4424341272958388	0.3882544185548155	0.5238901789627005	0.5027709101190113
clip_vit_l14_336	CLIP	2	hidden_state_002	0.5954683095576043	0.38909151051105784	0.8627904596896271	4	0.578088025054305	0.47176459063737325	0.6568245619756036	0.5867781673059547
clip_vit_l14_336	CLIP	3	hidden_state_003	0.6864435422514704	0.5500267161068678	0.7964923222015124	4	0.6625912987520653	0.5455142137551424	0.7381326150367545	0.6745174205017679
clip_vit_l14_336	CLIP	4	hidden_state_004	0.7326795508026942	0.6009822629122835	0.8296337358809326	4	0.7567817318114555	0.7360100381492031	0.7948069228919264	0.7447306413070749
clip_vit_l14_336	CLIP	5	hidden_state_005	0.8134448346367648	0.6099088180978762	0.9472436515589843	4	0.8934029665350803	0.860910885127243	0.9360152085996427	0.8534239005859225
clip_vit_l14_336	CLIP	6	hidden_state_006	0.7679736832755344	0.2675456832013511	0.9684152444813229	4	0.9476808264309604	0.8825195427589386	0.9917705740321291	0.8578272548532474
clip_vit_l14_336	CLIP	7	hidden_state_007	0.8352913269083502	0.522083217484133	0.9594631624094548	4	0.9367846086990125	0.8452369816963984	0.9924977075593232	0.8860379678036814
clip_vit_l14_336	CLIP	8	hidden_state_008	0.76134741169286	0.20798246043106197	0.9577192646181977	4	0.9214768451812027	0.7508368316931375	0.9872525036193153	0.8414121284370313
clip_vit_l14_336	CLIP	9	hidden_state_009	0.6958352160452841	0.04283105839829471	0.9624548128076765	4	0.8350183489683557	0.48186330709706504	0.9808156286287767	0.76542678250682
clip_vit_l14_336	CLIP	10	hidden_state_010	0.690579301461359	0.026238127602316308	0.9726183383577349	4	0.8324776290353102	0.511592571806481	0.9759382375766162	0.7615284652483346
clip_vit_l14_336	CLIP	11	hidden_state_011	0.6869125385187246	0.01741889268759847	0.978973071642511	4	0.8067959394159265	0.47601084863400916	0.9603110860150091	0.7468542389673256
clip_vit_l14_336	CLIP	12	hidden_state_012	0.7063544411242162	0.09939357234310586	0.9702014488122942	4	0.7565086863386924	0.34852280827615245	0.9466885783162362	0.7314315637314543
clip_vit_l14_336	CLIP	13	hidden_state_013	0.7112173848767006	0.01717829106124731	0.9866075370912796	4	0.7611686474766314	0.33954692664943514	0.9467635181064851	0.736193016176666
clip_vit_l14_336	CLIP	14	hidden_state_014	0.7572882084061877	0.1044270055641942	0.9972317616866128	4	0.7970274490454137	0.3696763001712852	0.9747433618891704	0.7771578287258007
clip_vit_l14_336	CLIP	15	hidden_state_015	0.7660949260563538	0.14166909091845245	0.9934240440837144	4	0.783695905947694	0.3655041556967486	0.9538696872990382	0.7748954160020238
clip_vit_l14_336	CLIP	16	hidden_state_016	0.8233371645532422	0.32695819474336396	0.997461067442608	4	0.822934036999785	0.4891607340434174	0.9611914866976146	0.8231356007765136
clip_vit_l14_336	CLIP	17	hidden_state_017	0.8648219208171792	0.4898633022342591	0.996976571318577	4	0.8269495514322649	0.5630528581284948	0.9695001046549004	0.8458857361247221
clip_vit_l14_336	CLIP	18	hidden_state_018	0.8871739072828624	0.6049149666869188	0.9921339461251523	4	0.7962252741829124	0.6353750110128252	0.928271836120393	0.8416995907328875
clip_vit_l14_336	CLIP	19	hidden_state_019	0.9061005873074462	0.7086028972597802	0.9899554656021768	4	0.7481325951577341	0.6034048026805232	0.90245112055497	0.8271165912325902
