triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction
41	vgg19	VGG	0.6566082625411097	0.0587951658672113	45.0	4	1	feature_map_001	0.5026656918938901	4	5	0	1.0	True	0.2
42	vgg13	VGG	0.6560134217381255	0.08261428578360544	45.625	4	1	feature_map_001	0.5021847982194381	4	5	0	1.0	True	0.2
43	vit_large	ViT	0.6556587031366734	0.14487254636773206	43.5	4	8	hidden_state_008	0.5524168694557634	4	25	0	1.0	True	0.32
44	resnet18	ResNet	0.6404665101489775	0.12197813135787582	44.0	4	0	hidden_state_000	0.5318334515007259	4	5	0	1.0	True	0.0
45	vgg13_bn	VGG	0.6394183697055165	0.14334379574409586	47.5	4	1	feature_map_001	0.42029804153778627	4	5	0	1.0	True	0.2
46	fastvit_sa12	FastViT	0.636300568502027	0.08604233924129717	47.125	4	2	feature_map_002	0.5670720067939757	4	3	0	1.0	True	0.6666666666666666
47	swinv2_small	SwinV2	0.6272047092086594	0.09329321787508939	48.375	4	2	hidden_state_002	0.42734144576289823	4	5	0	1.0	True	0.4
48	swin_base	Swin	0.6262438957668371	0.14329215227537784	47.875	4	3	hidden_state_003	0.4119888827424531	4	5	0	1.0	True	0.6
49	vit_base	ViT	0.6261153400320827	0.10967343537378135	49.5	4	3	hidden_state_003	0.5460105086738329	4	13	0	1.0	True	0.23076923076923078
50	resnet34	ResNet	0.6219254835556871	0.10934989052432863	47.875	4	0	hidden_state_000	0.4974515015915806	4	5	0	1.0	True	0.0
51	resnet50	ResNet	0.6211744929839733	0.09098892132049968	47.5	4	2	hidden_state_002	0.5366257236129615	4	5	0	1.0	True	0.4
52	swin_small	Swin	0.6132545723855356	0.09280424747765646	50.0	4	1	hidden_state_001	0.4040263266562264	4	5	0	1.0	True	0.2
53	resnext50_32x4d	ResNeXt	0.6046201286249904	0.10033957859885034	50.0	4	2	feature_map_002	0.49090089434969414	4	4	0	1.0	True	0.5
54	vgg11	VGG	0.6007328326152391	0.11467529083888563	52.0	4	1	feature_map_001	0.5257314907877046	4	5	0	1.0	True	0.2
